annotator,metaphor,FAMILIARITY_synthetic,MEANINGFULNESS_synthetic
1,Alice disegna il suo futuro con Alberto,4.541803983,5.064536191
1,Il professore apre la mente degli alunni,4.790477567,5.253804456
1,L' imprenditore segue l' istinto con decisione,4.834985641,5.819473124
1,Giorgio passa dalla gioia alla disperazione ,4.734413691,5.869886454
1,Vittorio spezza la noia con un film,4.935463809,4.964792923
1,Il padre sgattaiola dall' impegno dei figli,3.164842599,4.638515881
1,Lo studente zoppica verso l' esame di storia,3.103042463,5.0
1,Mara inciampa negli imprevisti della vita,4.068402421,5.619500571
1,Monica butta le speranze nel dimenticatoio,3.964792956,5.294521191
1,Il direttore pesta i diritti dei lavoratori,2.883633398,5.0
1,L' uomo raggiunge la felicità per un istante,2.252744306,5.192218763
1,Lo psicologo perlustra l' animo del paziente,3.645819536,5.818626945
1,Carlo calcia le critiche degli invidiosi ,3.927779377,5.082199514
1,Gaia rammenda i rapporti con i genitori,4.871479176,5.633060331
1,L' operaio arranca verso la paga di fine-mese,4.0,4.912049604
1,Marcella colpisce il cuore del suo fidanzato,4.962892067,5.473703419
1,Il carabiniere monta gli indizi del delitto,5.0,6.034453372
1,Il laureato chiude un capitolo della sua vita,5.485375727,6.209635448
1,Mario arriva alla decisione con fatica,5.037107933,5.518779443
1,Il giornalista accende l'interesse di Luca,4.701280172,4.976322813
1,Il critico entra nella discussione con foga,5.126804258,6.097215847
1,Alessandro versa le energie nello studio,5.143618769,5.863877885
1,Lisa corre verso l' amore con ingenuità,3.349902868,5.358581884
1,Franco scalcia i rimorsi di coscienza,4.040764345,5.386590652
1,Il dirigente cuce nuovi rapporti di lavoro,2.886764137,4.61193976
1,L' artista pedala sull' ispirazione del momento,2.526361842,4.728395578
1,Il politico trita le idee degli avversari,3.797493606,5.088092295
1,L' inventore sfoglia le idee nella sua testa,3.510824881,5.622878837
1,La nonna attacca i ricordi nella memoria,5.298719806,5.845302059
1,Adele calpesta i sogni della figlia ,3.0,4.957503305
1,Il giovane coglie l' opportunità con entusiasmo,5.983119592,6.141019985
1,Annalisa scava i segreti dell'animo ,3.959235655,5.32370362
1,Il giudice addita le colpe degli imputati,5.931597579,6.390914629
1,Luca scappa dalla realtà con la meditazione,4.182552305,5.070980773
1,Il cacciatore rompe la quiete del bosco,4.961422404,5.458196039
1,L' architetto saltella da un' idea all' altra ,3.049898051,5.251991203
1,Elena scivola sulla domanda di filosofia,1.709919866,2.910303716
1,Il paziente salta l' appuntamento con il dottore,5.0,5.209101448
1,Aldo fugge dagli obblighi del matrimonio,4.0,5.428511714
1,La madre costruisce la personalità del figlio,3.0,5.150955225
1,Luigi avanza tra i problemi della vita,4.765617847,4.966724487
