annotator,metaphor,PHISICALITY_synthetic,IMAGEABILITY_synthetic
1,Certi avvocati sono squali,5.099517119,5.382116889
1,Quegli scalatori sono scoiattoli,4.629431526,1.518900855
1,Alcuni bambini sono fontane,4.126804258,1.870135034
1,Certi banchieri sono vampiri,5.037107933,3.173455624
1,Alcuni colleghi sono zecche,4.045724854,3.083117052
1,Certi giornalisti sono avvoltoi,4.136327493,3.171534537
1,Alcuni professori sono enciclopedie,4.136327493,2.775545307
1,Quei poliziotti sono leoni,5.105243218,5.883112324
1,Certe acconciature sono cespugli,4.216985804,5.922231287
1,Certe fanciulle sono rose,5.143618769,6.432184797
1,Certe indossatrici sono bambole,5.0,5.922231287
1,Certi bimbetti sono colla,4.089696326,2.873873052
1,Alcuni venditori sono ortiche,4.044152557,2.783014196
1,Certi ladri sono gatti,4.790477567,1.938436508
1,Alcune suocere sono vipere,4.171534537,5.240945105
1,Alcuni atleti sono statue,5.224061164,6.737006228
1,Certi ginnasti sono burattini,4.827570378,4.377636847
1,Quelle ballerine sono libellule,4.136327493,3.014303428
1,Quelle bambine sono zuccherini,4.136327493,3.040764383
1,Quei chitarristi sono mitraglie,5.033275513,5.720889904
1,Certi impiegati sono zerbini,4.089696326,3.089696367
1,Alcuni neonati sono batuffoli,4.783362634,5.612314207
1,Alcuni cantanti sono usignoli,4.867191339,1.554691413
1,Certi pesisti sono ippopotami,4.136327493,4.172429631
1,Quei cuochi sono mongolfiere,4.136327493,1.711801873
1,Alcuni politici sono pavoni,4.136327493,5.288093611
1,Quei degenti sono mummie,4.783362634,6.128605992
1,Certi insegnanti sono ghiaccioli,5.072220623,3.126804216
1,Certi fruttivendoli sono megafoni,4.665166439,4.184312049
1,Alcuni amici sono ancore,5.0,1.927779377
1,Certi burocrati sono fossili,5.037107933,4.216637366
1,Alcuni anziani sono lumache,4.71056368,1.808578278
1,Certi corridori sono lepri,4.808512608,2.700488603
1,Quegli scolari sono uragani,4.177794143,2.033275513
1,Alcune segretarie sono agende,4.086486973,1.962892102
1,Certi leader sono fari,4.970831304,6.537980387
1,Certi scienziati sono lampi,4.770787571,1.947779476
1,Quegli eremiti sono lupi,4.867191339,5.669151579
1,Quelle spose sono nuvole,4.089696326,1.614891332
1,Certi nasi sono uncini,5.105243218,6.49241598
1,Quelle labbra sono canotti,4.972183201,4.439469869
1,Certi bicipiti sono sassi,5.265586309,6.789776171
