Metaphor,Met_structure,FAMILIARITY_human,MEANINGFULNESS_human,DIFFICULTY_human
Tutti sanno che le amicizie sono alberi che crescono con il tempo.,Nominal predicative,"3,24","4,401423306","1,232154724"
Se non curati con farmaci specifici certi malditesta sono trapani continui.,Nominal predicative,"3,16","4,118086965","1,297684404"
Nei paesi in via di sviluppo le economie sono bombe ad orologeria.,Nominal predicative,"2,48","3,720776324","2,303231934"
Nella memoria dei popoli le stragi sono cicatrici indelebili.,Nominal predicative,"3,92","4,563920217","1,285251441"
In certi momenti gli occhi sono oceani di profondità infinita.,Nominal predicative,"3,32","3,964222151","1,796227716"
Se negative certe amicizie sono virus che infettano il carattere dei giovani.,Nominal predicative,"2,4","4,206424343","1,452827391"
Nelle patologie psichiatriche le ossessioni sono gabbie che imprigionano.,Nominal predicative,"2,92","4,200822272","1,825789562"
Per alcune persone certi profumi sono chiavi per la porta della memoria.,Nominal predicative,"2,362551334","4,28","2,08"
Spesso nella vita le delusioni sono zavorre molto pesanti.,Nominal predicative,"2,963944999","4,16","1,32"
Nel mondo dello spettacolo certe conoscenze sono ascensori per il successo.,Nominal predicative,"3,766141671","4,48","1,36"
Per i soggetti depressi le crisi sono tunnel senza fine.,Nominal predicative,"4,005996436","4,08","1,84"
Nella vita le paure sono nodi che impediscono di andare avanti.,Nominal predicative,"2,565550052","3,56","1,76"
Nei momenti difficili le speranze sono stelle che illuminano l'anima.,Nominal predicative,"2,846004042","3,56","2,12"
Nelle società multietniche le lingue sono ponti tra le persone.,Nominal predicative,"3,483036554","3,64","1,92"
Nel caso di alcuni autori certi romanzi sono mappe che aiutano ad orientarsi nella vita.,Nominal predicative,"2,688900579","3,4","2,24"
Specialmente nelle relazioni sentimentali i torti sono crepe nell'anima.,Nominal predicative,"2,415821073","3,12","2,32"
Nel corso della vita le emozioni sono fulmini che sconvolgono la routine.,Nominal predicative,"2,957454602","3,48","1,72"
Quando c'è diffidenza i segreti sono muri tra le persone.,Nominal predicative,"3,096103082","3,68","2,12"
In politica e nel commercio certi discorsi sono fiumi che travolgono.,Nominal predicative,"2,689207632","2,96","2,28"
Nella società umana i rapporti sono corde che ci legano agli altri.,Nominal predicative,"3,375807662","3,92","1,8"
Senza il perdono i rancori sono tarli che divorano l'anima.,Nominal predicative,"3,291668575","3,92","1,8"
Negli animi fragili le tentazioni sono reti molto pericolose.,Nominal predicative,"2,930193941","3,4","2,68"
