annotator,metaphor,FAMILIARITY_synthetic,MEANINGFULNESS_synthetic,BODY_RELATEDNESS_synthetic
1,Quell'alito è una fogna,4.171534537,5.436332294,6.401808005
1,Quell'uragano è un carrarmato,4.044152557,2.873195742,1.296870199
1,Quella borsa è un macigno,4.126804258,5.161180409,6.183309921
1,Quella città è una giungla,4.0,5.244313672,4.722863105
1,Quelle guance sono pesche,4.126804263,5.107102416,6.150955162
1,Quel bacio è un peperoncino,4.086486973,5.0,5.359867455
1,Quella bocca è una fragola,3.955847443,2.006217539,1.494002013
1,Quella locomotiva è un drago,4.0,3.274734362,1.608349787
1,Quella ruga è un burrone,4.0,4.790898552,6.090979514
1,Quel vestito è una tenda,4.083117052,3.24431364,5.027528396
1,Quel lago è un cristallo,4.042496695,3.277136906,1.972554803
1,Quel sorriso è una stella,4.042496695,3.079602402,1.757038134
1,Quella pelle è una porcellana,3.954275146,2.578177587,2.077768713
1,Quel prato è un velluto,4.044152557,5.264297515,3.044152514
1,Quel mento è un precipizio,4.044152557,3.0,5.355573635
1,Quel viso è una seta,3.955847443,2.133471668,2.030475783
1,Quella nebbia è un muro,4.044152557,4.321257428,3.480927729
1,Quell'orecchio è una padella,4.0,1.9493849,1.44344867
1,Quella mano è una grattugia,3.957503305,3.622363114,6.099517124
1,Quel naso è un uncino,5.28943632,5.155427346,6.328950929
1,Quei denti sono una ghigliottina,4.089696326,5.211614256,5.914399775
1,Quelle palpebre sono serrande,4.171534537,5.115949664,6.222936029
1,Quelle ciglia sono un ventaglio,4.042496695,4.94582616,6.129670372
1,Quei piedi sono zattere,4.092733116,5.053237492,6.424597714
1,Quella pancia è una mongolfiera,4.126804258,4.946762482,6.041980108
1,Quella barba è un batuffolo,4.086486973,4.401024192,6.127246821
1,Quegli zigomi sono montagne,4.126804258,5.218176861,6.266956383
1,Quelle gambe sono trampoli,4.177794143,4.946762457,6.25130228
1,Quella caviglia è un pallone,4.086486973,3.164953739,6.083953583
1,Quel braccio è una sbarra,4.044152557,5.105175821,6.103745397
1,Quei capelli sono spaghetti,4.044152557,4.313465487,5.447481373
1,Quella fronte è una pianura,4.083117052,3.042496736,5.461005504
1,Quegli addominali sono marmo,4.131691041,5.366606813,6.553189652
1,Quelle labbra sono un canotto,4.086486973,2.608349753,2.477478217
1,Quei bicipiti sono sassi,4.089696326,4.393497219,6.503873503
1,Quelle unghie sono ruspe,4.044152557,3.086486973,6.190220896
1,Quelle dita sono tentacoli,4.131691041,4.64222099,6.032257843
1,Quei peli sono aghi,4.083117052,4.720687281,5.773892456
1,Quel brufolo è un vulcano,4.171534537,5.0,6.072314097
1,Quel neo è una mora,4.089696326,4.377636907,4.299732822
1,Quell'autostrada è un serpente,3.955847443,4.841918448,2.91351307
1,Quella fabbrica è un alveare,3.955847443,4.759139876,2.09050267
1,Quella luna è un palloncino,4.0,2.486785846,1.734413691
1,Quella sigaretta è un proiettile,4.044152557,5.0,2.952791564
1,Quella stanza è una discarica,4.164953739,5.349246844,2.913512985
1,Quel computer è una tartaruga,4.0,3.874340281,1.993868055
1,Quel libro è una lanterna,3.916882948,2.466925974,1.357491261
1,Quell'automobile è un missile,4.110873116,5.266956371,1.549976105
1,Quel cavo è un gomitolo,4.042496695,4.36920198,5.25809632
1,Quel cappello è un fungo,3.954275146,3.796042055,2.63689312
1,Quella grondaia è uno scolapasta,4.0,4.783014174,5.262814352
1,Quella casa è un gioiello,4.0,5.298719828,1.629720625
1,Quell'ospedale è un labirinto,3.955847443,4.765617867,3.079602402
1,Quel diario è una miniera,4.0,4.868308959,1.631050601
1,Quell'aiuola è un arcobaleno,3.910303674,3.203525188,1.81840399
1,Quel sonaglio è una camomilla,3.957503305,2.061316513,1.582148663
1,Quella nuvola è una perla,4.0,3.069905871,1.392782389
1,Quella firma è un geroglifico,4.089696326,3.277136906,1.741115016
1,Quegli abiti sono petali,4.089696326,2.959235655,2.091669999
1,Quel mare è uno smeraldo,4.126804258,5.980690633,1.670297973
1,Quella piscina è un brodo,3.955847443,2.091669967,1.558192928
1,Quel pannolino è una diga,4.0,3.451081867,5.216985811
1,Quell'aspirapolvere è un'astronave,3.755804405,2.521847177,1.141153681
1,Quel bar è un cimitero,4.086486973,5.161180389,3.089696323
