annotator,metaphor,familiarity,meaningfulness,body relatedness
rater_1,Quell'alito è una fogna,5,2,2
rater_1,Quell'uragano è un carrarmato,5,6,4
rater_1,Quella borsa è un macigno,4,6,2
rater_1,Quella città è una giungla,6,5,2
rater_1,Quelle guance sono pesche,3,6,5
rater_1,Quel bacio è un peperoncino,5,4,1
rater_1,Quella bocca è una fragola,1,3,1
rater_1,Quella locomotiva è un drago,2,7,1
rater_1,Quella ruga è un burrone,5,7,1
rater_1,Quel vestito è una tenda,5,7,2
rater_1,Quel lago è un cristallo,2,6,2
rater_1,Quel sorriso è una stella,3,4,1
rater_1,Quella pelle è una porcellana,5,7,1
rater_1,Quel prato è un velluto,5,6,2
rater_1,Quel mento è un precipizio,4,5,2
rater_1,Quel viso è una seta,2,4,2
rater_1,Quella nebbia è un muro,4,7,2
rater_1,Quell'orecchio è una padella,3,4,2
rater_1,Quella mano è una grattugia,3,4,5
