annotator,metaphor,FAMILIARITY_synthetic,MEANINGFULNESS_synthetic
1,Alice disegna il suo futuro con Alberto,4.541803983,5.064536191
1,Il professore apre la mente degli alunni,4.790477567,5.253804456
1,L' imprenditore segue l' istinto con decisione,4.834985641,5.819473124
1,Giorgio passa dalla gioia alla disperazione ,4.734413691,5.869886454
1,Vittorio spezza la noia con un film,4.935463809,4.964792923
1,Il padre sgattaiola dall' impegno dei figli,3.164842599,4.638515881
1,Lo studente zoppica verso l' esame di storia,3.103042463,5.0
1,Mara inciampa negli imprevisti della vita,4.068402421,5.619500571
1,Monica butta le speranze nel dimenticatoio,3.964792956,5.294521191
1,Il direttore pesta i diritti dei lavoratori,2.883633398,5.0
1,L' uomo raggiunge la felicità per un istante,2.252744306,5.192218763
1,Lo psicologo perlustra l' animo del paziente,3.645819536,5.818626945
1,Carlo calcia le critiche degli invidiosi ,3.927779377,5.082199514
1,Gaia rammenda i rapporti con i genitori,4.871479176,5.633060331
1,L' operaio arranca verso la paga di fine-mese,4.0,4.912049604
1,Marcella colpisce il cuore del suo fidanzato,4.962892067,5.473703419
1,Il carabiniere monta gli indizi del delitto,5.0,6.034453372
1,Il laureato chiude un capitolo della sua vita,5.485375727,6.209635448
1,Mario arriva alla decisione con fatica,5.037107933,5.518779443
1,Il giornalista accende l'interesse di Luca,4.701280172,4.976322813
1,Il critico entra nella discussione con foga,5.126804258,6.097215847
1,Alessandro versa le energie nello studio,5.143618769,5.863877885
1,Lisa corre verso l' amore con ingenuità,3.349902868,5.358581884
1,Franco scalcia i rimorsi di coscienza,4.040764345,5.386590652
1,Il dirigente cuce nuovi rapporti di lavoro,2.886764137,4.61193976
1,L' artista pedala sull' ispirazione del momento,2.526361842,4.728395578
1,Il politico trita le idee degli avversari,3.797493606,5.088092295
1,L' inventore sfoglia le idee nella sua testa,3.510824881,5.622878837
1,La nonna attacca i ricordi nella memoria,5.298719806,5.845302059
1,Adele calpesta i sogni della figlia ,3.0,4.957503305
1,Il giovane coglie l' opportunità con entusiasmo,5.983119592,6.141019985
1,Annalisa scava i segreti dell'animo ,3.959235655,5.32370362
1,Il giudice addita le colpe degli imputati,5.931597579,6.390914629
1,Luca scappa dalla realtà con la meditazione,4.182552305,5.070980773
1,Il cacciatore rompe la quiete del bosco,4.961422404,5.458196039
1,L' architetto saltella da un' idea all' altra ,3.049898051,5.251991203
1,Elena scivola sulla domanda di filosofia,1.709919866,2.910303716
1,Il paziente salta l' appuntamento con il dottore,5.0,5.209101448
1,Aldo fugge dagli obblighi del matrimonio,4.0,5.428511714
1,La madre costruisce la personalità del figlio,3.0,5.150955225
1,Luigi avanza tra i problemi della vita,4.765617847,4.966724487
1,Laura ricama il discorso con tanti dettagli,2.650293348,4.076529155
1,Elisa spazza i problemi con decisione,4.068402421,5.668071963
1,Guido timbra il passaggio all' età adulta ,3.910303674,4.844582202
1,La vicina scende nei particolari della storia,3.783362634,5.361979436
1,Sofia attraversa le difficoltà con coraggio,4.847175559,6.255845475
1,Il nonno cammina tra i ricordi d' infanzia,5.53918985,6.0
1,Sara sciacqua la coscienza con la beneficienza,1.946547718,4.694018179
1,Nino esce dall' ossessione delle scommesse,2.906262071,5.203052841
1,Lo scienziato spacca il problema nei dettagli,5.126804258,6.282217819
1,Anna raccoglie le confidenze dell' amica,4.554691431,4.954476578
1,Antonio solleva il dolore del suo amico,4.788484485,5.882694036
1,La ragazza passeggia tra le pagine del diario,5.045724854,5.863453019
1,Il poliziotto strappa una confessione al ladro,5.27477717,5.978210618
1,Matilde getta la tristezza alle spalle,3.935463807,4.909020482
1,Marta giunge alla conclusione del discorso,5.406648817,6.045523442
1,L'avvocato tocca il centro della questione,5.087950393,6.141423619
1,Silvia afferra l' intuizione del collega,4.655335794,5.829619718
1,L' adolescente girovaga nei sogni di successo,3.164842599,4.690138937
1,Marco percorre il destino del campione,3.0,3.944578086
