metaphor,FAMILIARITY_human,DIFFICULTY_human,MEANINGFULNESS_human
pianto di stelle,"3,2",3,"3,133"
corona di nebbia,"2,333","3,533","2,467"
anello delle labbra,"1,667","3,6","1,8"
squillo di vetri,"1,267","3,867",2
fiamma dell'idea,"2,267","3,667","2,267"
zuffa di clamori,"2,333","4,067","1,933"
colore di pianto,"1,8","3,6","1,933"
ali del ramo,"1,867","3,2","2,067"
siepe di granito,"2,267","3,933",2
siepe di scrupoli,"1,867","3,667","2,2"
volo del cuore,2,"2,867","2,733"
cime dello spirito,"1,4","3,667","2,467"
piede di vento,"1,267","3,667","2,2"
folla di pietra,"1,6","3,467","2,2"
albero di nuvole,"1,8","2,533","2,667"
fiato di primavera,"2,333","2,867","2,933"
valle del sonno,2,"2,8","2,867"
tessuto di fumi,"1,8","3,667",2
schermo di stoffa,"1,933","3,4","2,2"
fuochi di gioia,"2,2","2,467","2,933"
fiume di luce,"2,533","2,933","2,467"
fiume di sole,"1,867","3,667","2,333"
sangue dei vulcani,"2,2","2,333","2,867"
matassa di pasta,"2,6","3,733","2,067"
lama di buio,"1,467","3,667","2,2"
fili di pioggia,"3,333","2,133","3,733"
stagno di buio,"1,533","3,667",2
nuvole di rami,"1,933","3,4","1,8"
gradini del pensiero,"1,8","3,267","2,467"
teschio di corallo,"1,933","3,2","2,6"
fiore di fede,"1,8","3,933","2,067"
fiore della fiamma,"1,6","3,667","1,6"
ruggine del fiato,"1,4","3,667","2,133"
velo d'acqua,"3,133","2,333","3,267"
velo d'ombra,"2,8","2,533","3,133"
nidi d'illusione,"2,733","2,867","2,867"
torrente di gioia,"2,4","2,4","3,267"
torrente di voci,"3,267","2,667","2,867"
vene della terra,"2,6",3,3
morso del pettine,2,"3,533","2,2"
grappoli di mondi,"1,333","3,933","1,8"
ponte d'argento,"2,4","3,133","2,8"
grappolo di nidi,"2,333","3,733","1,933"
fiocchi di nuvole,"3,333","1,933","3,333"
velluto dell'ombra,"1,4","3,8","1,933"
goccia di luce,"2,533","2,867","2,733"
fiori del sangue,"1,4","3,2","2,133"
gomito di ramo,"1,8","3,933","1,867"
lampadina di fede,"1,933","3,533","1,867"
ruscello di rose,2,"3,133","2,6"
fiocco di luna,"1,8","3,267","2,2"
terrazza di desolazione,"2,133","3,333","2,6"
bara di ghiaccio,"2,133","2,733","2,733"
lava di ghiaccio,"2,2","3,467","2,4"
stracci di nubi,"2,867","2,8","2,867"
miele dell'oblio,"1,6","3,867","1,933"
finestra dell'anima,"2,533","2,533","3,533"
balbettio del mare,"1,867","2,667","2,4"
capriole di fumo,2,"2,733","2,8"
sussurro dei rami,"2,733",3,"2,733"
