Metaphor,Met_structure,FAMILIARITY_human,MEANINGFULNESS_human,DIFFICULTY_human
Davanti ad una punizione certi bambini sono fontane inarrestabili.,Nominal predicative,"1,6","2,888888889","2,375"
Nel mondo della speculazione finanziaria i banchieri sono vampiri sempre assetati.,Nominal predicative,"4,166666667","3,833333333","1,5"
Nell'utilizzo di rasoi taglienti i barbieri sono chirurghi altamente specializzati.,Nominal predicative,"2,833333333","2,666666667",2
Negli ambienti di lavoro spesso i colleghi sono zecche fastidiose.,Nominal predicative,"2,888888889","3,666666667","1,5"
All'occhio di un investigatore alle prime armi certi delitti sono rebus insolubili.,Nominal predicative,3,"4,166666667","1,5"
Alle finali olimpioniche di atletica i ginnasti sono grilli agilissimi.,Nominal predicative,"2,333333333","3,5","1,666666667"
In certi sport americani i giocatori sono elefanti dalla mole imponente.,Nominal predicative,"1,428571429","2,5","2,166666667"
Durante gli scandali nazionali i giornalisti sono avvoltoi senza morale.,Nominal predicative,"4,2","4,555555556","1,125"
Nella formazione culturale di ogni persona certi libri sono bussole di grande utilità.,Nominal predicative,2,"3,714285714","3,142857143"
Nell'educazione dei giovani certi maestri sono lanterne che illuminano la via.,Nominal predicative,1,"2,888888889","2,125"
Nelle campagne elettorali certi politici sono calamite per i voti.,Nominal predicative,"2,571428571","2,666666667","2,166666667"
Nei condomini del centro i portinai sono archivi pronti a spettegolare.,Nominal predicative,"1,333333333","2,333333333","2,333333333"
Specialmente per le materie umanistiche certi professori sono enciclopedie zeppe di conoscenze.,Nominal predicative,"3,833333333",4,"1,285714286"
Dopo un grave lutto certi ricordi sono spine dolorose.,Nominal predicative,"4,1","3,777777778","1,625"
Nel combattimento corpo a corpo certi soldati sono leoni senza paura.,Nominal predicative,"2,8","3,833333333","1,666666667"
Dopo un anno di duro lavoro i viaggi sono terapie di sicura efficacia.,Nominal predicative,"3,166666667","3,166666667","1,833333333"
Secondo la giornalista di moda quelle acconciature sono cespugli incolti.,Nominal predicative,"4,166666667","3,5","2,333333333"
Durante la gara di formula uno le automobili sono frecce velocissime.,Nominal predicative,"3,9","4,166666667","1,833333333"
Alla prima dello spettacolo le ballerine sono farfalle molto aggraziate.,Nominal predicative,"2,428571429","3,666666667","2,166666667"
Per le ricerche di letteratura certe biblioteche sono miniere ricche di informazioni.,Nominal predicative,"3,333333333",4,"1,333333333"
Per i faccendieri del tribunale le borse sono macigni traboccanti di documenti.,Nominal predicative,4,"3,333333333","1,333333333"
Per gli adolescenti amanti del rock certe canzoni sono droghe ipnotiche.,Nominal predicative,"1,8","3,166666667","2,333333333"
Per i bambini maltrattati le carezze sono balsami che curano il trauma.,Nominal predicative,"1,571428571",3,"2,166666667"
Nell'ora del rientro dal lavoro le città sono giungle caotiche.,Nominal predicative,"4,166666667","3,857142857","2,142857143"
Nelle poesie dei poeti romantici le fanciulle sono rose delicate.,Nominal predicative,"1,888888889","3,333333333","2,166666667"
Quando si suda per la tensione le giacche sono forni di calore.,Nominal predicative,"2,7","2,5","2,166666667"
Nei bambini appena nati le guance sono pesche liscissime.,Nominal predicative,"2,9","3,222222222","2,125"
Alle sfilate di alta moda le indossatrici sono bambole di incantevole bellezza.,Nominal predicative,"3,444444444","3,5","1,666666667"
Con certi insegnanti dell'università le lezioni in classe sono sonniferi potentissimi.,Nominal predicative,"3,333333333","4,285714286","1,285714286"
Specialmente nei paesi del terzo mondo certe malattie sono cecchini senza pietà.,Nominal predicative,"1,428571429","2,833333333","2,166666667"
Per i distubi del sonno certe melodie sono camomille rilassanti.,Nominal predicative,"2,666666667","2,666666667","2,166666667"
Nelle situazioni di crisi economica certe notizie sono terremoti destabilizzanti.,Nominal predicative,"2,666666667","3,571428571","1,857142857"
Le tasche delle giacche dei nonni sono banche zeppe di monete.,Nominal predicative,"1,1","2,444444444","2,5"
Ai matrimoni tradizionali le torte sono montagne di panna e praline.,Nominal predicative,2,3,"2,666666667"
Specialmente nel genere femminile certe voci sono trombe squillanti e fastidiose.,Nominal predicative,"3,7","2,666666667",2
Soprattutto nelle culture tradizionali i matrimoni sono querce dalle radici solide.,Nominal predicative,"2,16","3,677834219","1,661576262"
Per molti anziani i figli sono stampelle che sostengono nella vecchiaia.,Nominal predicative,"4,214668246","4,4","1,44"
Dopo un temporale le nuvole sono perle di infiniti riflessi.,Nominal predicative,"1,92","3,046436923","2,601760771"
Nelle scelte di vita i dubbi sono ombre che offuscano la via.,Nominal predicative,"3,008880807","3,52","2,04"
Nei momenti di sconforto i sogni sono ali per viaggiare lontano.,Nominal predicative,"3,392239122","4,24","1,52"
Negli indecisi le opinioni sono pendoli che vanno di qua e di là.,Nominal predicative,"3,050716682","3,92","1,72"
Quando si toccano argomenti delicati le parole sono pietre che pesano sull'animo.,Nominal predicative,"2,76","4,004521926","1,832934346"
Nelle persone creative le menti sono vulcani di idee e progetti.,Nominal predicative,"4,16","4,708333333","1,166666667"
Al giorno d'oggi i passatempi sono oasi dal lavoro e dalla frenesia del quotidiano.,Nominal predicative,"3,12","4,018572225","1,779261736"
Specialmente nella adolescenza le passioni sono venti passeggeri e instabili.,Nominal predicative,"3,08","4,249323768","1,520896272"
In un percorso di miglioramento spirituale le virtù sono muscoli da potenziare.,Nominal predicative,"2,44","3,80090779","1,823405382"
Anche dopo molti anni i rimproveri dei genitori sono tatuaggi nella memoria.,Nominal predicative,"2,16","4,161531838","1,512885866"
Per gli animi sensibili le poesie sono sorrisi per il cuore.,Nominal predicative,"2,6","3,608386897","1,788815891"
I malati di artrosi dicono che le fitte sono coltelli nella carne.,Nominal predicative,"2,4","4,486869967","1,75698866"
Specialmente in filosofia certe teorie sono palazzi dalle fragili fondamenta.,Nominal predicative,"3,28","4,155658513","1,471283512"
Specialmente in America certe università sono portaerei che trasportano talenti.,Nominal predicative,"1,44","3,247649599","2,106450938"
Tutti sanno che le amicizie sono alberi che crescono con il tempo.,Nominal predicative,"3,24","4,401423306","1,232154724"
Se non curati con farmaci specifici certi malditesta sono trapani continui.,Nominal predicative,"3,16","4,118086965","1,297684404"
Nei paesi in via di sviluppo le economie sono bombe ad orologeria.,Nominal predicative,"2,48","3,720776324","2,303231934"
Nella memoria dei popoli le stragi sono cicatrici indelebili.,Nominal predicative,"3,92","4,563920217","1,285251441"
In certi momenti gli occhi sono oceani di profondità infinita.,Nominal predicative,"3,32","3,964222151","1,796227716"
Se negative certe amicizie sono virus che infettano il carattere dei giovani.,Nominal predicative,"2,4","4,206424343","1,452827391"
Nelle patologie psichiatriche le ossessioni sono gabbie che imprigionano.,Nominal predicative,"2,92","4,200822272","1,825789562"
Per alcune persone certi profumi sono chiavi per la porta della memoria.,Nominal predicative,"2,362551334","4,28","2,08"
Spesso nella vita le delusioni sono zavorre molto pesanti.,Nominal predicative,"2,963944999","4,16","1,32"
Nel mondo dello spettacolo certe conoscenze sono ascensori per il successo.,Nominal predicative,"3,766141671","4,48","1,36"
Per i soggetti depressi le crisi sono tunnel senza fine.,Nominal predicative,"4,005996436","4,08","1,84"
Nella vita le paure sono nodi che impediscono di andare avanti.,Nominal predicative,"2,565550052","3,56","1,76"
Nei momenti difficili le speranze sono stelle che illuminano l'anima.,Nominal predicative,"2,846004042","3,56","2,12"
Nelle società multietniche le lingue sono ponti tra le persone.,Nominal predicative,"3,483036554","3,64","1,92"
Nel caso di alcuni autori certi romanzi sono mappe che aiutano ad orientarsi nella vita.,Nominal predicative,"2,688900579","3,4","2,24"
Specialmente nelle relazioni sentimentali i torti sono crepe nell'anima.,Nominal predicative,"2,415821073","3,12","2,32"
Nel corso della vita le emozioni sono fulmini che sconvolgono la routine.,Nominal predicative,"2,957454602","3,48","1,72"
Quando c'è diffidenza i segreti sono muri tra le persone.,Nominal predicative,"3,096103082","3,68","2,12"
In politica e nel commercio certi discorsi sono fiumi che travolgono.,Nominal predicative,"2,689207632","2,96","2,28"
Nella società umana i rapporti sono corde che ci legano agli altri.,Nominal predicative,"3,375807662","3,92","1,8"
Senza il perdono i rancori sono tarli che divorano l'anima.,Nominal predicative,"3,291668575","3,92","1,8"
Negli animi fragili le tentazioni sono reti molto pericolose.,Nominal predicative,"2,930193941","3,4","2,68"
