annotator,metaphor,PHISICALITY_synthetic,IMAGEABILITY_synthetic
1,Alcuni politici sono pavoni,4.071780832,5.320749741
1,Certi ladri sono gatti,4.133431581,5.244853026
1,Certe acconciature sono cespugli,5.994159279,6.970683449
1,Quei degenti sono mummie,6.304592702,6.97702259
1,Alcuni colleghi sono zecche,2.981861141,3.907157872
1,Certi nasi sono uncini,6.499585302,6.999964644
1,Quei chitarristi sono mitraglie,3.71605727,2.553200258
1,Alcuni amici sono ancore,3.217286039,1.000714788
1,Certi burocrati sono fossili,4.607217643,5.904588765
1,Alcuni professori sono enciclopedie,3.23258671,1.047432802
1,Certi insegnanti sono ghiaccioli,4.682027723,4.853837848
1,Alcuni venditori sono ortiche,3.883024065,3.981091002
1,Quelle ballerine sono libellule,5.999972609,5.998573664
1,Certe fanciulle sono rose,6.377528031,6.001015685
1,Alcuni atleti sono statue,6.0,6.060085826
1,Quegli scolari sono uragani,2.924691439,2.000110387
1,Certi ginnasti sono burattini,4.999303337,4.998875887
1,Certi scienziati sono lampi,2.000068757,1.000007889
1,Certi leader sono fari,3.996511951,2.058590753
1,Certi avvocati sono squali,5.730513649,5.110492931
1,Quei cuochi sono mongolfiere,3.079602402,2.200750018
1,Certi giornalisti sono avvoltoi,5.999134347,5.731037449
1,Certi bimbetti sono colla,3.059707788,1.159504712
1,Quelle labbra sono canotti,1.007029225,4.154697892
1,Quegli scalatori sono scoiattoli,5.002211435,5.013988798
1,Alcuni anziani sono lumache,4.77898763,5.310577271
1,Alcuni neonati sono batuffoli,5.992628531,5.996953796
1,Alcuni bambini sono fontane,1.898565807,2.262721454
1,Certi corridori sono lepri,5.982723243,5.997524967
1,Certi bicipiti sono sassi,5.050336173,6.00045984
1,Certi banchieri sono vampiri,3.047510312,3.969864136
1,Quegli eremiti sono lupi,2.540147998,2.835181018
1,Certi pesisti sono ippopotami,5.987105673,6.182419584
1,Alcune segretarie sono agende,1.003179435,1.000203462
1,Certe indossatrici sono bambole,6.017075439,5.993082886
1,Alcuni cantanti sono usignoli,4.994875975,4.98593428
1,Quelle bambine sono zuccherini,2.386867016,1.952682779
1,Certi impiegati sono zerbini,1.392782367,1.000058516
1,Quei poliziotti sono leoni,3.993642486,4.004124873
1,Alcune suocere sono vipere,3.009008462,2.999934897
1,Certi fruttivendoli sono megafoni,1.017986569,1.000002259
1,Quelle spose sono nuvole,2.370645454,2.000616732
1,Alcuni politici sono pavoni,4.032998134,5.047146899
1,Certi ladri sono gatti,3.455777905,3.703204126
1,Certe acconciature sono cespugli,5.730854434,6.005220014
1,Quei degenti sono mummie,5.053951595,6.000233655
1,Alcuni colleghi sono zecche,2.000308093,3.010116894
1,Certi nasi sono uncini,6.002911495,6.998830489
1,Quei chitarristi sono mitraglie,3.936087164,2.572338651
1,Alcuni amici sono ancore,3.011591406,1.731078478
1,Certi burocrati sono fossili,4.117303133,4.486387927
1,Alcuni professori sono enciclopedie,3.112550094,1.000337234
1,Certi insegnanti sono ghiaccioli,4.989113481,5.436264784
1,Alcuni venditori sono ortiche,3.825879503,3.828217114
1,Quelle ballerine sono libellule,5.999738806,5.999876582
1,Certe fanciulle sono rose,6.182353165,6.000017862
1,Alcuni atleti sono statue,5.601324205,6.047425047
1,Quegli scolari sono uragani,2.924691436,1.999967609
1,Certi ginnasti sono burattini,4.999449482,4.998086273
1,Certi scienziati sono lampi,2.0,1.000002902
1,Certi leader sono fari,3.998408226,2.147719188
1,Certi avvocati sono squali,5.070666033,4.000095207
1,Quei cuochi sono mongolfiere,2.395829396,1.000709895
1,Certi giornalisti sono avvoltoi,5.989623773,5.022960679
1,Certi bimbetti sono colla,2.701463294,2.00045984
1,Quelle labbra sono canotti,1.000337012,1.123678974
1,Quegli scalatori sono scoiattoli,5.765056041,5.999079392
1,Alcuni anziani sono lumache,4.995489528,4.973158449
1,Alcuni neonati sono batuffoli,6.87928766,6.221956192
1,Alcuni bambini sono fontane,1.924764576,1.438025955
1,Certi corridori sono lepri,6.119145457,5.852151774
1,Certi bicipiti sono sassi,5.889507069,6.20963544
1,Certi banchieri sono vampiri,3.817339037,3.234382173
1,Quegli eremiti sono lupi,2.997252462,2.503598569
1,Certi pesisti sono ippopotami,6.007814531,6.222629003
1,Alcune segretarie sono agende,1.989015959,1.000010187
1,Certe indossatrici sono bambole,6.0,5.818260616
1,Alcuni cantanti sono usignoli,5.000016555,4.423169659
1,Quelle bambine sono zuccherini,3.496012258,2.04336411
1,Certi impiegati sono zerbini,2.995489528,1.822854766
1,Quei poliziotti sono leoni,5.018909003,4.994807409
1,Alcune suocere sono vipere,4.035381889,3.680908191
1,Certi fruttivendoli sono megafoni,2.005217867,1.00001016
1,Quelle spose sono nuvole,4.294235143,2.737278546
