annotator,metaphor,FAMILIARITY_synthetic,MEANINGFULNESS_synthetic,DIFFICULTY_synthetic
1,Dopo una cena a base di aglio gli aliti sono fogne insopportabili.,2.914976163,3.847108779,2.088617501
1,Nei processi importanti certi avvocati sono squali senza scrupoli.,3.036974216,4.24233849,2.011457708
1,Secondo l'opinione del generale quegli eserciti sono dighe insormontabili.,2.985967314,4.242338508,2.029362426
1,Quando il tempo stringe gli oratori sono treni ad altà velocità.,2.163686945,1.331928067,2.874241811
1,Nell'arrampicata ad alta quota gli scalatori sono scoiattoli molto agili.,2.792008858,1.475479636,2.160539645
1,A volte nell'educazione degli adolescenti gli schiaffi sono medicine efficaci.,2.808567187,2.089066765,3.890740796
1,Specialmente per le coste italiane gli uragani sono carrarmati devastanti.,2.74867363,1.491216983,2.953609169
1,Davanti ad una punizione certi bambini sono fontane inarrestabili.,2.857618355,2.899256312,2.45887357
1,Nel mondo della speculazione finanziaria i banchieri sono vampiri sempre assetati.,2.817862016,3.857618375,2.593351145
1,Nell'utilizzo di rasoi taglienti i barbieri sono chirurghi altamente specializzati.,2.728446346,4.323703623,2.0707474
1,Negli ambienti di lavoro spesso i colleghi sono zecche fastidiose.,2.858725516,1.6474493,3.144796554
1,All'occhio di un investigatore alle prime armi certi delitti sono rebus insolubili.,2.832076051,4.232586704,2.20511305
