annotator,metaphor,FAMILIARITY_synthetic,MEANINGFULNESS_synthetic,BODY_RELATEDNESS_synthetic
1,Quell'alito è una fogna,5,6,7
1,Quell'uragano è un carrarmato,5,2,1
1,Quella borsa è un macigno,5,6,7
1,Quella città è una giungla,3,6,4
1,Quelle guance sono pesche,5,6,6
1,Quel bacio è un peperoncino,5,6,4
1,Quella bocca è una fragola,3,2,1
1,Quella locomotiva è un drago,3,2,1
1,Quella ruga è un burrone,3,4,6
1,Quel vestito è una tenda,5,4,6
1,Quel lago è un cristallo,5,4,2
1,Quel sorriso è una stella,5,4,2
1,Quella pelle è una porcellana,3,2,2
1,Quel prato è un velluto,5,6,4
1,Quel mento è un precipizio,5,4,6
1,Quel viso è una seta,3,2,1
1,Quella nebbia è un muro,5,4,6
1,Quell'orecchio è una padella,3,2,1
1,Quella mano è una grattugia,3,4,6
1,Quel naso è un uncino,5,6,7
1,Quei denti sono una ghigliottina,5,6,7
1,Quelle palpebre sono serrande,5,6,6
1,Quelle ciglia sono un ventaglio,5,4,6
1,Quei piedi sono zattere,5,4,6
1,Quella pancia è una mongolfiera,5,4,6
1,Quella barba è un batuffolo,5,4,6
1,Quegli zigomi sono montagne,5,6,6
1,Quelle gambe sono trampoli,5,4,6
1,Quella caviglia è un pallone,5,4,6
1,Quel braccio è una sbarra,5,6,6
1,Quei capelli sono spaghetti,5,4,6
1,Quella fronte è una pianura,5,4,6
1,Quegli addominali sono marmo,5,6,7
1,Quelle labbra sono un canotto,5,2,1
1,Quei bicipiti sono sassi,5,4,6
1,Quelle unghie sono ruspe,5,4,6
1,Quelle dita sono tentacoli,5,4,6
1,Quei peli sono aghi,5,4,6
1,Quel brufolo è un vulcano,5,4,6
1,Quel neo è una mora,5,4,6
1,Quell'autostrada è un serpente,3,4,2
1,Quella fabbrica è un alveare,3,4,2
1,Quella luna è un palloncino,3,2,1
1,Quella sigaretta è un proiettile,5,6,2
1,Quella stanza è una discarica,5,6,2
1,Quel computer è una tartaruga,3,4,2
1,Quel libro è una lanterna,3,2,1
1,Quell'automobile è un missile,4,6,1
1,Quel cavo è un gomitolo,5,4,6
1,Quel cappello è un fungo,3,4,2
1,Quella grondaia è uno scolapasta,3,4,6
1,Quella casa è un gioiello,3,6,2
1,Quell'ospedale è un labirinto,3,4,3
1,Quel diario è una miniera,3,4,2
1,Quell'aiuola è un arcobaleno,3,2,1
1,Quel sonaglio è una camomilla,3,2,1
1,Quella nuvola è una perla,3,2,1
