FAMILIARITY_synthetic,DIFFICULTY_synthetic,MEANINGFULNESS_synthetic,BODY_RELATEDNESS_synthetic,PHISICALITY_synthetic,IMAGEABILITY_synthetic
2.002332414,3.981998431,3.437981176,6.981981284,3.996706575,2.230480845
2.03953667,3.770079889,3.000113265,1.000045504,4.024792763,5.433399164
3.903908641,2.00001533,4.075853424,1.500016084,2.856381231,2.004954743
2.943221119,2.050336171,4.00003163,1.000004804,3.975742296,2.270662625
2.000707625,3.99592035,2.731333145,6.267548262,3.738377215,2.063896316
3.988053358,1.999983691,4.148028682,1.761639566,4.017285214,4.996183906
3.975262813,1.999925298,4.095343385,6.599051082,2.238273663,1.000158445
4.001910033,1.999964697,4.047424326,1.000010148,4.001131085,5.254081958
2.184424087,3.599051082,3.222290891,6.622195525,4.022900739,5.268937672
3.609305184,2.000333979,4.982013267,1.001171642,5.994910074,5.441404353
3.999439774,1.99984157,4.000100145,1.000002275,5.980002295,5.689422711
3.998814739,1.999992296,4.00402474,1.119635617,4.060086646,2.363433373
2.004926004,2.722432672,3.234382153,6.004507504,3.789776197,3.089321501
3.710243415,1.999925985,4.18217302,1.000004809,3.864972604,2.187922413
3.880385758,1.999970788,4.016287024,5.990939599,3.964004016,2.044010418
3.999084434,1.99987661,4.679178571,6.0,6.000292792,6.294276442
4.679176705,1.000000238,4.999088949,1.000010131,4.102021683,5.013039027
3.930392253,1.999964756,4.010828527,6.878980547,3.960879463,3.735644684
2.000044634,3.994770378,3.147506498,6.678687584,4.16913328,2.098673028
2.120160543,2.149062894,3.407150503,6.99994169,4.037825832,2.02397077
4.004069196,1.99330715,4.9626731,6.221588331,3.923043724,2.068675443
4.985936177,1.000000009,4.982013787,6.001440396,6.000886751,5.909794115
1.000933978,4.000506244,2.000010089,5.995740996,5.810051827,4.989108568
4.182395353,1.622459371,4.001496179,6.999964636,3.988705283,5.997261516
4.182424026,1.970687768,4.3208213,6.014028277,1.440613685,1.00020412
3.975469433,2.000008812,4.437817122,6.010556436,4.032998134,5.059779867
2.000322272,3.904521573,2.999665545,6.817476317,5.806248641,6.472627637
3.9998003,1.999998815,4.148047073,6.999446745,3.939173693,3.079965455
