annotator,metaphor,FAMILIARITY_synthetic,MEANINGFULNESS_synthetic,DIFFICULTY_synthetic
1,Dopo una cena a base di aglio gli aliti sono fogne insopportabili.,3,4,2
1,Nei processi importanti certi avvocati sono squali senza scrupoli.,3,4,2
1,Secondo l'opinione del generale quegli eserciti sono dighe insormontabili.,3,4,2
1,Quando il tempo stringe gli oratori sono treni ad altà velocità.,3,1,2
1,Nell'arrampicata ad alta quota gli scalatori sono scoiattoli molto agili.,3,1,2
1,A volte nell'educazione degli adolescenti gli schiaffi sono medicine efficaci.,3,2,4
1,Specialmente per le coste italiane gli uragani sono carrarmati devastanti.,3,1,2
1,Davanti ad una punizione certi bambini sono fontane inarrestabili.,3,2,2
1,Nel mondo della speculazione finanziaria i banchieri sono vampiri sempre assetati.,3,4,2
1,Nell'utilizzo di rasoi taglienti i barbieri sono chirurghi altamente specializzati.,3,4,2
1,Negli ambienti di lavoro spesso i colleghi sono zecche fastidiose.,3,2,4
1,All'occhio di un investigatore alle prime armi certi delitti sono rebus insolubili.,3,4,2
1,Alle finali olimpioniche di atletica i ginnasti sono grilli agilissimi.,3,1,2
1,In certi sport americani i giocatori sono elefanti dalla mole imponente.,3,2,2
1,Durante gli scandali nazionali i giornalisti sono avvoltoi senza morale.,3,2,4
1,Nella formazione culturale di ogni persona certi libri sono bussole di grande utilità.,3,4,2
1,Nell'educazione dei giovani certi maestri sono lanterne che illuminano la via.,3,5,2
1,Nelle campagne elettorali certi politici sono calamite per i voti.,3,4,2
1,Nei condomini del centro i portinai sono archivi pronti a spettegolare.,3,4,2
1,Specialmente per le materie umanistiche certi professori sono enciclopedie zeppe di conoscenze.,3,4,2
1,Dopo un grave lutto certi ricordi sono spine dolorose.,3,5,2
1,Nel combattimento corpo a corpo certi soldati sono leoni senza paura.,3,4,2
1,Dopo un anno di duro lavoro i viaggi sono terapie di sicura efficacia.,3,2,4
1,Secondo la giornalista di moda quelle acconciature sono cespugli incolti.,3,2,4
1,Durante la gara di formula uno le automobili sono frecce velocissime.,3,2,4
1,Alla prima dello spettacolo le ballerine sono farfalle molto aggraziate.,3,2,2
1,Per le ricerche di letteratura certe biblioteche sono miniere ricche di informazioni.,3,5,1
1,Per i faccendieri del tribunale le borse sono macigni traboccanti di documenti.,3,4,2
