annotator,metaphor,FAMILIARITY_synthetic,MEANINGFULNESS_synthetic
1,Alice disegna il suo futuro con Alberto,4.728905315,6.000001815
1,Il professore apre la mente degli alunni,6.037326886,6.999941694
1,L' imprenditore segue l' istinto con decisione,4.999741541,6.000158359
1,Giorgio passa dalla gioia alla disperazione ,6.021574686,6.995929841
1,Vittorio spezza la noia con un film,5.891642106,5.817618364
1,Il padre sgattaiola dall' impegno dei figli,3.991389542,4.999991562
1,Lo studente zoppica verso l' esame di storia,4.937655883,5.991431455
1,Mara inciampa negli imprevisti della vita,5.996922839,6.999569443
1,Monica butta le speranze nel dimenticatoio,4.783286315,5.999964958
1,Il direttore pesta i diritti dei lavoratori,3.881054556,5.426309991
1,L' uomo raggiunge la felicità per un istante,5.992923607,6.999447217
1,Lo psicologo perlustra l' animo del paziente,4.956635893,6.00857748
1,Carlo calcia le critiche degli invidiosi ,4.171291516,5.004053436
1,Gaia rammenda i rapporti con i genitori,5.982217151,6.777299793
1,L' operaio arranca verso la paga di fine-mese,5.031014502,5.999770012
1,Marcella colpisce il cuore del suo fidanzato,4.354093687,5.11928815
1,Il carabiniere monta gli indizi del delitto,5.943969787,6.939913342
1,Il laureato chiude un capitolo della sua vita,6.613768656,6.999447221
1,Mario arriva alla decisione con fatica,5.679245843,5.999463923
1,Il giornalista accende l'interesse di Luca,5.000010747,5.982019208
1,Il critico entra nella discussione con foga,5.67922486,6.182423343
1,Alessandro versa le energie nello studio,5.011591405,5.505036492
1,Lisa corre verso l' amore con ingenuità,4.000530173,5.00090832
1,Franco scalcia i rimorsi di coscienza,3.835046261,4.76741329
1,Il dirigente cuce nuovi rapporti di lavoro,2.370180559,3.999957487
1,L' artista pedala sull' ispirazione del momento,3.891937238,5.985929079
1,Il politico trita le idee degli avversari,5.923939553,6.094446624
1,L' inventore sfoglia le idee nella sua testa,4.983144776,5.853421402
1,La nonna attacca i ricordi nella memoria,5.410027679,6.976878056
1,Adele calpesta i sogni della figlia ,3.0,5.000062812
1,Il giovane coglie l' opportunità con entusiasmo,6.976954338,6.999998932
1,Annalisa scava i segreti dell'animo ,4.18256833,5.999992223
1,Il giudice addita le colpe degli imputati,6.13040824,6.995929638
1,Luca scappa dalla realtà con la meditazione,5.0,6.000035212
1,Il cacciatore rompe la quiete del bosco,5.982172178,6.499995933
1,L' architetto saltella da un' idea all' altra ,2.95300372,4.952575887
1,Elena scivola sulla domanda di filosofia,4.19281627,5.001303117
1,Il paziente salta l' appuntamento con il dottore,5.067871921,5.952834737
1,Aldo fugge dagli obblighi del matrimonio,4.025986596,5.880813544
1,La madre costruisce la personalità del figlio,5.679996218,6.999569436
1,Luigi avanza tra i problemi della vita,5.037367409,6.001168863
1,Laura ricama il discorso con tanti dettagli,3.010725782,4.962700606
1,Elisa spazza i problemi con decisione,2.364986681,4.000531334
1,Guido timbra il passaggio all' età adulta ,1.717156547,2.963757284
1,La vicina scende nei particolari della storia,4.021121112,5.777300185
1,Sofia attraversa le difficoltà con coraggio,5.98593195,6.982013377
1,Il nonno cammina tra i ricordi d' infanzia,5.001231495,6.047425872
1,Sara sciacqua la coscienza con la beneficienza,2.817272165,5.000042496
1,Nino esce dall' ossessione delle scommesse,3.786726334,6.005096735
1,Lo scienziato spacca il problema nei dettagli,4.537177931,6.880761562
1,Anna raccoglie le confidenze dell' amica,6.000034963,6.499999877
1,Antonio solleva il dolore del suo amico,4.924475246,6.070666042
1,La ragazza passeggia tra le pagine del diario,4.546413953,5.002588774
1,Il poliziotto strappa una confessione al ladro,6.022774048,6.999876605
1,Matilde getta la tristezza alle spalle,4.963007996,5.999460229
1,Marta giunge alla conclusione del discorso,5.420512496,6.317165307
1,L'avvocato tocca il centro della questione,6.499467558,6.999954598
1,Silvia afferra l' intuizione del collega,5.00041755,5.99988275
1,L' adolescente girovaga nei sogni di successo,4.000713187,5.320930899
1,Marco percorre il destino del campione,4.209547308,5.029309333
