annotator,metaphor,FAMILIARITY_synthetic,MEANINGFULNESS_synthetic,DIFFICULTY_synthetic
1,Dopo una cena a base di aglio gli aliti sono fogne insopportabili.,3,2,1
1,Nei processi importanti certi avvocati sono squali senza scrupoli.,4,4,2
1,Secondo l'opinione del generale quegli eserciti sono dighe insormontabili.,3,1,2
1,Quando il tempo stringe gli oratori sono treni ad altà velocità.,1,1,5
1,Nell'arrampicata ad alta quota gli scalatori sono scoiattoli molto agili.,2,3,3
1,A volte nell'educazione degli adolescenti gli schiaffi sono medicine efficaci.,2,1,3
1,Specialmente per le coste italiane gli uragani sono carrarmati devastanti.,1,2,4
1,Davanti ad una punizione certi bambini sono fontane inarrestabili.,1,2,2
1,Nel mondo della speculazione finanziaria i banchieri sono vampiri sempre assetati.,3,4,3
1,Nell'utilizzo di rasoi taglienti i barbieri sono chirurghi altamente specializzati.,4,3,2
1,Negli ambienti di lavoro spesso i colleghi sono zecche fastidiose.,3,2,2
1,All'occhio di un investigatore alle prime armi certi delitti sono rebus insolubili.,4,2,4
1,Alle finali olimpioniche di atletica i ginnasti sono grilli agilissimi.,1,1,4
1,In certi sport americani i giocatori sono elefanti dalla mole imponente.,2,2,2
1,Durante gli scandali nazionali i giornalisti sono avvoltoi senza morale.,3,4,3
1,Nella formazione culturale di ogni persona certi libri sono bussole di grande utilità.,4,5,2
1,Nell'educazione dei giovani certi maestri sono lanterne che illuminano la via.,4,5,2
1,Nelle campagne elettorali certi politici sono calamite per i voti.,4,3,2
1,Nei condomini del centro i portinai sono archivi pronti a spettegolare.,4,4,2
1,Specialmente per le materie umanistiche certi professori sono enciclopedie zeppe di conoscenze.,4,5,3
1,Dopo un grave lutto certi ricordi sono spine dolorose.,5,4,2
1,Nel combattimento corpo a corpo certi soldati sono leoni senza paura.,4,3,3
1,Dopo un anno di duro lavoro i viaggi sono terapie di sicura efficacia.,4,5,2
1,Secondo la giornalista di moda quelle acconciature sono cespugli incolti.,2,1,4
1,Durante la gara di formula uno le automobili sono frecce velocissime.,3,5,2
1,Alla prima dello spettacolo le ballerine sono farfalle molto aggraziate.,3,4,1
1,Per le ricerche di letteratura certe biblioteche sono miniere ricche di informazioni.,4,5,1
1,Per i faccendieri del tribunale le borse sono macigni traboccanti di documenti.,3,4,3
1,Per gli adolescenti amanti del rock certe canzoni sono droghe ipnotiche.,3,4,4
1,Per i bambini maltrattati le carezze sono balsami che curano il trauma.,5,5,2
1,Nell'ora del rientro dal lavoro le città sono giungle caotiche.,4,4,2
1,Nelle poesie dei poeti romantici le fanciulle sono rose delicate.,4,4,2
1,Quando si suda per la tensione le giacche sono forni di calore.,2,2,5
1,Nei bambini appena nati le guance sono pesche liscissime.,4,4,1
1,Alle sfilate di alta moda le indossatrici sono bambole di incantevole bellezza.,4,5,1
1,Con certi insegnanti dell'università le lezioni in classe sono sonniferi potentissimi.,2,1,4
1,Specialmente nei paesi del terzo mondo certe malattie sono cecchini senza pietà.,2,4,3
1,Per i distubi del sonno certe melodie sono camomille rilassanti.,3,4,2
1,Nelle situazioni di crisi economica certe notizie sono terremoti destabilizzanti.,3,4,4
1,Le tasche delle giacche dei nonni sono banche zeppe di monete.,4,3,1
1,Ai matrimoni tradizionali le torte sono montagne di panna e praline.,5,4,2
1,Specialmente nel genere femminile certe voci sono trombe squillanti e fastidiose.,3,3,3
1,Soprattutto nelle culture tradizionali i matrimoni sono querce dalle radici solide.,4,3,2
1,Per molti anziani i figli sono stampelle che sostengono nella vecchiaia.,4,5,2
1,Dopo un temporale le nuvole sono perle di infiniti riflessi.,3,4,2
1,Nelle scelte di vita i dubbi sono ombre che offuscano la via.,4,5,3
1,Nei momenti di sconforto i sogni sono ali per viaggiare lontano.,4,4,4
1,Negli indecisi le opinioni sono pendoli che vanno di qua e di là.,4,3,2
1,Quando si toccano argomenti delicati le parole sono pietre che pesano sull'animo.,4,5,3
1,Nelle persone creative le menti sono vulcani di idee e progetti.,4,5,3
1,Al giorno d'oggi i passatempi sono oasi dal lavoro e dalla frenesia del quotidiano.,5,4,1
1,Specialmente nella adolescenza le passioni sono venti passeggeri e instabili.,4,4,3
1,In un percorso di miglioramento spirituale le virtù sono muscoli da potenziare.,4,5,2
1,Anche dopo molti anni i rimproveri dei genitori sono tatuaggi nella memoria.,4,4,2
1,Per gli animi sensibili le poesie sono sorrisi per il cuore.,4,4,2
1,I malati di artrosi dicono che le fitte sono coltelli nella carne.,4,4,2
1,Specialmente in filosofia certe teorie sono palazzi dalle fragili fondamenta.,4,3,4
1,Specialmente in America certe università sono portaerei che trasportano talenti.,4,4,2
1,Tutti sanno che le amicizie sono alberi che crescono con il tempo.,5,4,1
1,Se non curati con farmaci specifici certi malditesta sono trapani continui.,2,4,4
1,Nei paesi in via di sviluppo le economie sono bombe ad orologeria.,1,4,4
1,Nella memoria dei popoli le stragi sono cicatrici indelebili.,2,5,3
1,In certi momenti gli occhi sono oceani di profondità infinita.,5,5,1
1,Se negative certe amicizie sono virus che infettano il carattere dei giovani.,4,2,4
1,Nelle patologie psichiatriche le ossessioni sono gabbie che imprigionano.,3,5,3
1,Per alcune persone certi profumi sono chiavi per la porta della memoria.,4,4,2
1,Spesso nella vita le delusioni sono zavorre molto pesanti.,4,4,2
1,Nel mondo dello spettacolo certe conoscenze sono ascensori per il successo.,4,5,2
1,Per i soggetti depressi le crisi sono tunnel senza fine.,3,4,4
1,Nella vita le paure sono nodi che impediscono di andare avanti.,4,4,3
1,Nei momenti difficili le speranze sono stelle che illuminano l'anima.,5,5,2
1,Nelle società multietniche le lingue sono ponti tra le persone.,4,5,1
1,Nel caso di alcuni autori certi romanzi sono mappe che aiutano ad orientarsi nella vita.,4,5,3
1,Specialmente nelle relazioni sentimentali i torti sono crepe nell'anima.,4,4,3
1,Nel corso della vita le emozioni sono fulmini che sconvolgono la routine.,4,5,3
1,Quando c'è diffidenza i segreti sono muri tra le persone.,4,4,3
1,In politica e nel commercio certi discorsi sono fiumi che travolgono.,4,4,3
