Metaphor,Met_structure,PHISICALITY_human,IMAGEABILITY_human
Certi corridori sono lepri,Nominal predicative,"4,263157895","5,611111111"
Quegli scolari sono uragani,Nominal predicative,"2,5","4,473684211"
Alcune segretarie sono agende,Nominal predicative,"1,95","3,736842105"
Certi leader sono fari,Nominal predicative,"1,368421053","3,111111111"
Certi scienziati sono lampi,Nominal predicative,2,"2,888888889"
Quegli eremiti sono lupi,Nominal predicative,"1,9","3,421052632"
Quelle spose sono nuvole,Nominal predicative,"3,368421053","3,833333333"
Certi nasi sono uncini,Nominal predicative,"6,7","6,421052632"
Quelle labbra sono canotti,Nominal predicative,"6,578947368","6,5"
Certi bicipiti sono sassi,Nominal predicative,"6,4","5,473684211"
