metaphor,PHISICALITY_human,IMAGEABILITY_human
Certi avvocati sono squali,"1,85","3,842105263"
Quegli scalatori sono scoiattoli,"3,684210526","4,333333333"
Alcuni bambini sono fontane,3,"4,315789474"
Certi banchieri sono vampiri,"2,105263158","3,888888889"
Alcuni colleghi sono zecche,"1,526315789","2,833333333"
Certi giornalisti sono avvoltoi,"1,7","4,315789474"
Alcuni professori sono enciclopedie,"1,35","3,315789474"
Quei poliziotti sono leoni,"2,473684211","3,111111111"
Certe acconciature sono cespugli,"6,105263158","6,444444444"
Certe fanciulle sono rose,"3,578947368","3,555555556"
Certe indossatrici sono bambole,"5,45","5,263157895"
Certi bimbetti sono colla,"2,15","3,789473684"
Alcuni venditori sono ortiche,"1,894736842","2,222222222"
Certi ladri sono gatti,"3,55","4,315789474"
Alcune suocere sono vipere,"1,526315789","4,055555556"
Alcuni atleti sono statue,"6,1","6,157894737"
Certi ginnasti sono burattini,"3,789473684","3,888888889"
Quelle ballerine sono libellule,"4,5","4,894736842"
Quelle bambine sono zuccherini,"2,35","3,631578947"
Quei chitarristi sono mitraglie,"1,7","3,157894737"
Certi impiegati sono zerbini,"1,631578947","4,111111111"
Alcuni neonati sono batuffoli,"5,368421053",5
Alcuni cantanti sono usignoli,"3,105263158","4,5"
Certi pesisti sono ippopotami,"5,7","5,210526316"
Quei cuochi sono mongolfiere,"3,789473684","3,944444444"
Alcuni politici sono pavoni,"2,3","4,157894737"
Quei degenti sono mummie,"4,85","5,578947368"
Certi insegnanti sono ghiaccioli,"2,05","3,368421053"
Certi fruttivendoli sono megafoni,3,"4,578947368"
Alcuni amici sono ancore,"1,263157895","3,611111111"
Certi burocrati sono fossili,"2,947368421","3,944444444"
Alcuni anziani sono lumache,"4,157894737","4,833333333"
Certi corridori sono lepri,"4,263157895","5,611111111"
Quegli scolari sono uragani,"2,5","4,473684211"
Alcune segretarie sono agende,"1,95","3,736842105"
Certi leader sono fari,"1,368421053","3,111111111"
Certi scienziati sono lampi,2,"2,888888889"
Quegli eremiti sono lupi,"1,9","3,421052632"
Quelle spose sono nuvole,"3,368421053","3,833333333"
Certi nasi sono uncini,"6,7","6,421052632"
Quelle labbra sono canotti,"6,578947368","6,5"
Certi bicipiti sono sassi,"6,4","5,473684211"
