annotator,metaphor,PHISICALITY_synthetic,IMAGEABILITY_synthetic
1,Alcuni politici sono pavoni,5.150955194,5.53457199
1,Certi ladri sono gatti,4.172429622,5.052256823
1,Certe acconciature sono cespugli,2.948755864,4.859300973
1,Quei degenti sono mummie,6.152824451,6.653769612
1,Alcuni colleghi sono zecche,3.665166439,5.076529155
1,Certi nasi sono uncini,6.331652722,6.868233283
1,Quei chitarristi sono mitraglie,4.192218786,5.991290199
1,Alcuni amici sono ancore,3.228680622,3.152158171
1,Certi burocrati sono fossili,4.654532845,5.275925811
1,Alcuni professori sono enciclopedie,2.841918448,2.234382153
1,Certi insegnanti sono ghiaccioli,3.224454693,2.924037441
1,Alcuni venditori sono ortiche,2.556046218,2.13654696
1,Quelle ballerine sono libellule,3.916882948,3.086487015
1,Certe fanciulle sono rose,5.105243218,5.131691062
1,Alcuni atleti sono statue,5.433084685,6.241278971
1,Quegli scolari sono uragani,2.835046261,2.025539852
1,Certi ginnasti sono burattini,4.060651601,4.150955194
1,Certi scienziati sono lampi,2.323703635,1.972017003
1,Certi leader sono fari,3.0,3.0
1,Certi avvocati sono squali,3.0,2.298223358
1,Quei cuochi sono mongolfiere,2.894756782,2.950812707
1,Certi giornalisti sono avvoltoi,2.799167642,2.363498935
1,Certi bimbetti sono colla,1.627803253,1.184424089
1,Quelle labbra sono canotti,3.25380449,4.822205879
1,Quegli scalatori sono scoiattoli,1.692424028,1.092686054
1,Alcuni anziani sono lumache,1.60682513,1.065740274
1,Alcuni neonati sono batuffoli,3.081741344,1.697165282
1,Alcuni bambini sono fontane,2.0,1.274699317
1,Certi corridori sono lepri,1.480568731,1.065491684
1,Certi bicipiti sono sassi,4.584182691,6.643996291
1,Certi banchieri sono vampiri,1.765617847,1.322813446
1,Quegli eremiti sono lupi,1.598164827,1.237816711
1,Certi pesisti sono ippopotami,1.872787386,1.07808614
1,Alcune segretarie sono agende,1.479218905,1.259104426
1,Certe indossatrici sono bambole,1.518920438,1.06921581
1,Alcuni cantanti sono usignoli,1.797493606,1.44297802
1,Quelle bambine sono zuccherini,1.765617847,1.170273698
1,Certi impiegati sono zerbini,1.420597598,1.07820224
1,Quei poliziotti sono leoni,2.072220623,1.540027881
1,Alcune suocere sono vipere,1.913513027,1.761635273
1,Certi fruttivendoli sono megafoni,1.518900876,1.204493202
1,Quelle spose sono nuvole,1.411994805,1.221181745
