annotator,metaphor,FAMILIARITY_synthetic,MEANINGFULNESS_synthetic,BODY_RELATEDNESS_synthetic
1,Quell'alito è una fogna,6,5,7
1,Quell'uragano è un carrarmato,4,6,1
1,Quella borsa è un macigno,3,4,4
1,Quella città è una giungla,5,6,1
1,Quelle guance sono pesche,6,6,7
1,Quel bacio è un peperoncino,5,5,7
1,Quella bocca è una fragola,7,6,7
1,Quella locomotiva è un drago,2,4,1
1,Quella ruga è un burrone,4,5,7
1,Quel vestito è una tenda,2,3,1
1,Quel lago è un cristallo,4,5,1
1,Quel sorriso è una stella,6,6,7
1,Quella pelle è una porcellana,5,4,7
1,Quel prato è un velluto,3,4,1
1,Quel mento è un precipizio,4,6,7
1,Quel viso è una seta,5,5,7
1,Quella nebbia è un muro,4,4,1
1,Quell'orecchio è una padella,2,3,4
1,Quella mano è una grattugia,5,5,7
1,Quel naso è un uncino,5,5,7
1,Quei denti sono una ghigliottina,6,6,7
1,Quelle palpebre sono serrande,6,5,6
1,Quelle ciglia sono un ventaglio,6,6,6
1,Quei piedi sono zattere,4,5,6
1,Quella pancia è una mongolfiera,5,5,7
1,Quella barba è un batuffolo,3,4,4
1,Quegli zigomi sono montagne,5,6,7
1,Quelle gambe sono trampoli,5,5,7
1,Quella caviglia è un pallone,4,4,6
1,Quel braccio è una sbarra,5,5,7
1,Quei capelli sono spaghetti,5,5,4
1,Quella fronte è una pianura,4,5,1
1,Quegli addominali sono marmo,5,5,7
1,Quelle labbra sono un canotto,5,5,7
1,Quei bicipiti sono sassi,5,5,7
1,Quelle unghie sono ruspe,4,4,7
1,Quelle dita sono tentacoli,6,5,7
1,Quei peli sono aghi,6,5,6
1,Quel brufolo è un vulcano,5,5,7
1,Quel neo è una mora,5,4,4
1,Quell'autostrada è un serpente,3,5,1
1,Quella fabbrica è un alveare,2,4,1
1,Quella luna è un palloncino,4,4,1
1,Quella sigaretta è un proiettile,3,6,1
1,Quella stanza è una discarica,4,4,1
1,Quel computer è una tartaruga,3,4,1
1,Quel libro è una lanterna,4,6,1
1,Quell'automobile è un missile,3,6,1
