annotator,metaphor,metaphor_structure,FAMILIARITY_synthetic,MEANINGFULNESS_synthetic,BODY_RELATEDNESS_synthetic
1,Quell'alito è una fogna,Nominal predicative,6,5,7
1,Quell'uragano è un carrarmato,Nominal predicative,3,6,1
1,Quella borsa è un macigno,Nominal predicative,4,5,2
1,Quella città è una giungla,Nominal predicative,6,7,1
1,Quelle guance sono pesche,Nominal predicative,5,6,6
1,Quel bacio è un peperoncino,Nominal predicative,5,6,7
1,Quella bocca è una fragola,Nominal predicative,6,6,7
1,Quella locomotiva è un drago,Nominal predicative,4,6,1
1,Quella ruga è un burrone,Nominal predicative,5,6,6
1,Quel vestito è una tenda,Nominal predicative,4,5,2
1,Quel lago è un cristallo,Nominal predicative,5,6,1
1,Quel sorriso è una stella,Nominal predicative,6,7,1
1,Quella pelle è una porcellana,Nominal predicative,6,6,7
1,Quel prato è un velluto,Nominal predicative,5,6,1
1,Quel mento è un precipizio,Nominal predicative,4,5,7
1,Quel viso è una seta,Nominal predicative,6,6,7
1,Quella nebbia è un muro,Nominal predicative,4,5,1
1,Quell'orecchio è una padella,Nominal predicative,2,3,7
1,Quella mano è una grattugia,Nominal predicative,3,4,7
1,Quel naso è un uncino,Nominal predicative,4,5,7
1,Quei denti sono una ghigliottina,Nominal predicative,3,5,7
1,Quelle palpebre sono serrande,Nominal predicative,4,5,7
1,Quelle ciglia sono un ventaglio,Nominal predicative,5,6,7
1,Quei piedi sono zattere,Nominal predicative,4,5,6
1,Quella pancia è una mongolfiera,Nominal predicative,5,6,6
1,Quella barba è un batuffolo,Nominal predicative,5,6,7
1,Quegli zigomi sono montagne,Nominal predicative,4,5,7
1,Quelle gambe sono trampoli,Nominal predicative,4,5,7
1,Quella caviglia è un pallone,Nominal predicative,3,4,6
1,Quel braccio è una sbarra,Nominal predicative,4,5,6
1,Quei capelli sono spaghetti,Nominal predicative,5,6,7
1,Quella fronte è una pianura,Nominal predicative,5,6,7
1,Quegli addominali sono marmo,Nominal predicative,5,6,7
1,Quelle labbra sono un canotto,Nominal predicative,3,4,7
1,Quei bicipiti sono sassi,Nominal predicative,5,6,7
1,Quelle unghie sono ruspe,Nominal predicative,2,3,7
1,Quelle dita sono tentacoli,Nominal predicative,4,5,7
1,Quei peli sono aghi,Nominal predicative,5,6,7
1,Quel brufolo è un vulcano,Nominal predicative,5,6,7
1,Quel neo è una mora,Nominal predicative,6,6,7
1,Quell'autostrada è un serpente,Nominal predicative,4,5,1
1,Quella fabbrica è un alveare,Nominal predicative,5,6,1
1,Quella luna è un palloncino,Nominal predicative,5,6,1
1,Quella sigaretta è un proiettile,Nominal predicative,4,5,2
1,Quella stanza è una discarica,Nominal predicative,5,6,1
1,Quel computer è una tartaruga,Nominal predicative,3,4,1
1,Quel libro è una lanterna,Nominal predicative,4,5,1
1,Quell'automobile è un missile,Nominal predicative,5,6,1
1,Quel cavo è un gomitolo,Nominal predicative,4,5,1
1,Quel cappello è un fungo,Nominal predicative,4,5,2
1,Quella grondaia è uno scolapasta,Nominal predicative,3,4,1
1,Quella casa è un gioiello,Nominal predicative,5,6,1
1,Quell'ospedale è un labirinto,Nominal predicative,5,6,1
1,Quel diario è una miniera,Nominal predicative,4,5,1
1,Quell'aiuola è un arcobaleno,Nominal predicative,4,5,1
1,Quel sonaglio è una camomilla,Nominal predicative,3,4,1
1,Quella nuvola è una perla,Nominal predicative,5,6,1
1,Quella firma è un geroglifico,Nominal predicative,5,6,1
1,Quegli abiti sono petali,Nominal predicative,4,5,2
1,Quel mare è uno smeraldo,Nominal predicative,6,7,1
1,Quella piscina è un brodo,Nominal predicative,4,5,1
1,Quel pannolino è una diga,Nominal predicative,2,3,2
1,Quell'aspirapolvere è un'astronave,Nominal predicative,3,4,1
1,Quel bar è un cimitero,Nominal predicative,4,5,1
2,Quell'alito è una fogna,Nominal predicative,6,7,7
2,Quell'uragano è un carrarmato,Nominal predicative,3,6,1
2,Quella borsa è un macigno,Nominal predicative,5,6,1
2,Quella città è una giungla,Nominal predicative,7,7,1
2,Quelle guance sono pesche,Nominal predicative,6,6,7
2,Quel bacio è un peperoncino,Nominal predicative,5,6,7
2,Quella bocca è una fragola,Nominal predicative,6,6,7
2,Quella locomotiva è un drago,Nominal predicative,4,7,1
2,Quella ruga è un burrone,Nominal predicative,5,6,7
2,Quel vestito è una tenda,Nominal predicative,4,5,1
2,Quel lago è un cristallo,Nominal predicative,5,7,1
2,Quel sorriso è una stella,Nominal predicative,6,7,1
2,Quella pelle è una porcellana,Nominal predicative,6,7,7
2,Quel prato è un velluto,Nominal predicative,5,6,1
2,Quel mento è un precipizio,Nominal predicative,4,6,7
2,Quel viso è una seta,Nominal predicative,6,7,7
2,Quella nebbia è un muro,Nominal predicative,4,6,1
2,Quell'orecchio è una padella,Nominal predicative,2,4,7
