annotator,metaphor,PHISICALITY_synthetic,IMAGEABILITY_synthetic
1,Certi avvocati sono squali,2,4
1,Quegli scalatori sono scoiattoli,1,2
1,Alcuni bambini sono fontane,3,1
1,Certi banchieri sono vampiri,2,3
1,Alcuni colleghi sono zecche,5,6
1,Certi giornalisti sono avvoltoi,4,5
1,Alcuni professori sono enciclopedie,1,1
1,Quei poliziotti sono leoni,2,6
1,Certe acconciature sono cespugli,1,1
1,Certe fanciulle sono rose,4,6
1,Certe indossatrici sono bambole,6,6
1,Certi bimbetti sono colla,3,1
1,Alcuni venditori sono ortiche,2,3
1,Certi ladri sono gatti,2,5
1,Alcune suocere sono vipere,3,5
1,Alcuni atleti sono statue,4,6
1,Certi ginnasti sono burattini,6,6
1,Quelle ballerine sono libellule,4,6
1,Quelle bambine sono zuccherini,4,5
1,Quei chitarristi sono mitraglie,1,6
1,Certi impiegati sono zerbini,2,2
1,Alcuni neonati sono batuffoli,5,1
1,Alcuni cantanti sono usignoli,4,1
1,Certi pesisti sono ippopotami,6,6
1,Quei cuochi sono mongolfiere,3,5
1,Alcuni politici sono pavoni,4,5
1,Quei degenti sono mummie,4,5
1,Certi insegnanti sono ghiaccioli,3,1
1,Certi fruttivendoli sono megafoni,4,4
1,Alcuni amici sono ancore,4,1
1,Certi burocrati sono fossili,2,4
1,Alcuni anziani sono lumache,4,4
1,Certi corridori sono lepri,5,6
1,Quegli scolari sono uragani,3,1
1,Alcune segretarie sono agende,2,1
1,Certi leader sono fari,4,5
1,Certi scienziati sono lampi,4,5
1,Quegli eremiti sono lupi,4,6
1,Quelle spose sono nuvole,4,4
1,Certi nasi sono uncini,6,7
1,Quelle labbra sono canotti,5,6
1,Certi bicipiti sono sassi,5,6
2,Certi avvocati sono squali,4,5
2,Quegli scalatori sono scoiattoli,1,2
2,Alcuni bambini sono fontane,1,2
2,Certi banchieri sono vampiri,3,5
2,Alcuni colleghi sono zecche,3,5
2,Certi giornalisti sono avvoltoi,2,6
2,Alcuni professori sono enciclopedie,4,1
2,Quei poliziotti sono leoni,3,7
2,Certe acconciature sono cespugli,2,7
2,Certe fanciulle sono rose,5,7
2,Certe indossatrici sono bambole,3,7
2,Certi bimbetti sono colla,1,1
2,Alcuni venditori sono ortiche,2,2
2,Certi ladri sono gatti,4,6
2,Alcune suocere sono vipere,5,7
2,Alcuni atleti sono statue,6,7
2,Certi ginnasti sono burattini,5,7
2,Quelle ballerine sono libellule,4,5
2,Quelle bambine sono zuccherini,4,7
2,Quei chitarristi sono mitraglie,2,5
2,Certi impiegati sono zerbini,3,3
2,Alcuni neonati sono batuffoli,6,5
2,Alcuni cantanti sono usignoli,4,1
2,Certi pesisti sono ippopotami,5,7
2,Quei cuochi sono mongolfiere,4,2
2,Alcuni politici sono pavoni,3,6
2,Quei degenti sono mummie,4,5
2,Certi insegnanti sono ghiaccioli,4,4
2,Certi fruttivendoli sono megafoni,2,4
2,Alcuni amici sono ancore,3,3
2,Certi burocrati sono fossili,2,4
2,Alcuni anziani sono lumache,3,4
2,Certi corridori sono lepri,5,5
2,Quegli scolari sono uragani,5,2
2,Alcune segretarie sono agende,1,1
2,Certi leader sono fari,4,6
2,Certi scienziati sono lampi,5,6
2,Quegli eremiti sono lupi,4,6
2,Quelle spose sono nuvole,5,4
2,Certi nasi sono uncini,7,7
2,Quelle labbra sono canotti,6,6
2,Certi bicipiti sono sassi,5,7
3,Certi avvocati sono squali,4,3
3,Quegli scalatori sono scoiattoli,5,1
3,Alcuni bambini sono fontane,3,2
3,Certi banchieri sono vampiri,4,6
