annotator,metaphor,FAMILIARITY_synthetic,MEANINGFULNESS_synthetic,BODY_RELATEDNESS_synthetic
8,Quell'alito è una fogna,6,7,7
8,Quell'uragano è un carrarmato,2,5,1
8,Quella borsa è un macigno,4,6,2
8,Quella città è una giungla,4,7,1
8,Quelle guance sono pesche,6,7,7
8,Quel bacio è un peperoncino,4,5,6
8,Quella bocca è una fragola,3,6,7
8,Quella locomotiva è un drago,3,6,1
8,Quella ruga è un burrone,5,6,6
8,Quel vestito è una tenda,4,6,1
8,Quel lago è un cristallo,3,6,1
8,Quel sorriso è una stella,2,5,1
8,Quella pelle è una porcellana,4,6,6
8,Quel prato è un velluto,4,6,1
8,Quel mento è un precipizio,2,4,6
8,Quel viso è una seta,2,4,6
8,Quella nebbia è un muro,4,6,1
8,Quell'orecchio è una padella,3,2,7
8,Quella mano è una grattugia,3,5,6
8,Quel naso è un uncino,4,6,7
8,Quei denti sono una ghigliottina,6,7,7
8,Quelle palpebre sono serrande,5,6,6
8,Quelle ciglia sono un ventaglio,3,5,6
8,Quei piedi sono zattere,6,5,7
8,Quella pancia è una mongolfiera,3,5,6
8,Quella barba è un batuffolo,3,5,6
8,Quegli zigomi sono montagne,4,6,7
8,Quelle gambe sono trampoli,6,7,7
8,Quella caviglia è un pallone,4,6,7
8,Quel braccio è una sbarra,5,6,7
8,Quei capelli sono spaghetti,5,6,6
8,Quella fronte è una pianura,3,5,6
8,Quegli addominali sono marmo,6,7,7
8,Quelle labbra sono un canotto,1,2,6
8,Quei bicipiti sono sassi,6,7,7
8,Quelle unghie sono ruspe,6,7,7
8,Quelle dita sono tentacoli,3,5,6
8,Quei peli sono aghi,4,6,6
8,Quel brufolo è un vulcano,5,6,6
8,Quel neo è una mora,5,6,7
8,Quell'autostrada è un serpente,4,7,1
8,Quella fabbrica è un alveare,4,6,1
8,Quella luna è un palloncino,2,4,1
8,Quella sigaretta è un proiettile,4,6,1
8,Quella stanza è una discarica,4,6,1
8,Quel computer è una tartaruga,4,7,1
8,Quel libro è una lanterna,2,3,1
8,Quell'automobile è un missile,4,7,1
8,Quel cavo è un gomitolo,4,6,1
8,Quel cappello è un fungo,2,5,1
8,Quella grondaia è uno scolapasta,3,5,1
8,Quella casa è un gioiello,5,6,1
8,Quell'ospedale è un labirinto,4,6,1
8,Quel diario è una miniera,4,6,1
8,Quell'aiuola è un arcobaleno,3,6,1
8,Quel sonaglio è una camomilla,1,1,1
8,Quella nuvola è una perla,2,4,1
8,Quella firma è un geroglifico,3,5,1
8,Quegli abiti sono petali,2,4,1
8,Quel mare è uno smeraldo,4,7,1
8,Quella piscina è un brodo,2,2,1
8,Quel pannolino è una diga,3,5,1
8,Quell'aspirapolvere è un'astronave,2,2,1
8,Quel bar è un cimitero,2,6,1
9,Quell'alito è una fogna,5,6,7
9,Quell'uragano è un carrarmato,2,5,1
9,Quella borsa è un macigno,4,6,1
9,Quella città è una giungla,4,7,1
9,Quelle guance sono pesche,6,7,7
9,Quel bacio è un peperoncino,4,6,1
9,Quella bocca è una fragola,3,5,6
9,Quella locomotiva è un drago,3,6,1
9,Quella ruga è un burrone,5,6,7
9,Quel vestito è una tenda,4,6,1
9,Quel lago è un cristallo,3,6,1
9,Quel sorriso è una stella,3,5,1
9,Quella pelle è una porcellana,4,6,6
9,Quel prato è un velluto,3,5,1
9,Quel mento è un precipizio,2,5,6
9,Quel viso è una seta,3,5,6
9,Quella nebbia è un muro,4,6,1
9,Quell'orecchio è una padella,2,2,7
9,Quella mano è una grattugia,3,5,6
9,Quel naso è un uncino,6,5,7
9,Quei denti sono una ghigliottina,4,6,6
9,Quelle palpebre sono serrande,4,6,6
9,Quelle ciglia sono un ventaglio,3,5,6
9,Quei piedi sono zattere,6,5,7
9,Quella pancia è una mongolfiera,3,5,6
9,Quella barba è un batuffolo,3,5,6
9,Quegli zigomi sono montagne,3,6,7
9,Quelle gambe sono trampoli,6,7,7
9,Quella caviglia è un pallone,4,5,6
9,Quel braccio è una sbarra,6,7,7
9,Quei capelli sono spaghetti,2,4,6
9,Quella fronte è una pianura,2,5,6
9,Quegli addominali sono marmo,6,7,7
9,Quelle labbra sono un canotto,2,2,6
9,Quei bicipiti sono sassi,6,7,7
9,Quelle unghie sono ruspe,6,7,7
9,Quelle dita sono tentacoli,4,6,6
9,Quei peli sono aghi,4,6,6
9,Quel brufolo è un vulcano,4,6,6
9,Quel neo è una mora,4,6,7
9,Quell'autostrada è un serpente,4,6,1
9,Quella fabbrica è un alveare,4,6,1
9,Quella luna è un palloncino,2,4,1
9,Quella sigaretta è un proiettile,4,6,1
9,Quella stanza è una discarica,4,6,1
9,Quel computer è una tartaruga,4,6,1
9,Quel libro è una lanterna,4,5,1
9,Quell'automobile è un missile,4,7,1
9,Quel cavo è un gomitolo,4,6,1
9,Quel cappello è un fungo,4,5,1
9,Quella grondaia è uno scolapasta,4,6,1
9,Quella casa è un gioiello,5,6,1
9,Quell'ospedale è un labirinto,4,6,1
9,Quel diario è una miniera,4,6,1
9,Quell'aiuola è un arcobaleno,3,5,1
9,Quel sonaglio è una camomilla,1,1,1
9,Quella nuvola è una perla,2,5,1
9,Quella firma è un geroglifico,3,5,1
9,Quegli abiti sono petali,2,4,1
9,Quel mare è uno smeraldo,3,6,1
9,Quella piscina è un brodo,3,2,1
9,Quel pannolino è una diga,1,2,1
9,Quell'aspirapolvere è un'astronave,2,3,1
9,Quel bar è un cimitero,3,6,1
10,Quell'alito è una fogna,6,7,7
10,Quell'uragano è un carrarmato,2,5,1
10,Quella borsa è un macigno,4,6,2
10,Quella città è una giungla,4,7,1
10,Quelle guance sono pesche,5,6,6
10,Quel bacio è un peperoncino,4,6,6
10,Quella bocca è una fragola,4,6,7
10,Quella locomotiva è un drago,3,6,1
10,Quella ruga è un burrone,5,6,6
10,Quel vestito è una tenda,3,5,1
10,Quel lago è un cristallo,3,6,1
10,Quel sorriso è una stella,3,5,1
10,Quella pelle è una porcellana,5,6,6
10,Quel prato è un velluto,3,5,1
10,Quel mento è un precipizio,2,5,6
10,Quel viso è una seta,3,5,6
10,Quella nebbia è un muro,3,6,1
10,Quell'orecchio è una padella,2,2,7
10,Quella mano è una grattugia,6,5,7
10,Quel naso è un uncino,3,6,7
10,Quei denti sono una ghigliottina,6,7,7
10,Quelle palpebre sono serrande,4,6,6
10,Quelle ciglia sono un ventaglio,3,5,6
10,Quei piedi sono zattere,6,5,7
10,Quella pancia è una mongolfiera,3,6,7
10,Quella barba è un batuffolo,3,5,6
10,Quegli zigomi sono montagne,3,5,6
10,Quelle gambe sono trampoli,6,7,7
10,Quella caviglia è un pallone,3,2,6
10,Quel braccio è una sbarra,6,7,7
10,Quei capelli sono spaghetti,2,3,5
