annotator,metaphor,familiarity,meaningfulness,body relatedness
rater_1,Quell'alito è una fogna,5,6,1
rater_1,Quell'uragano è un carrarmato,3,6,4
rater_1,Quella borsa è un macigno,4,6,3
rater_1,Quella città è una giungla,5,7,3
rater_1,Quelle guance sono pesche,7,3,4
rater_1,Quel bacio è un peperoncino,6,5,4
rater_1,Quella bocca è una fragola,6,4,6
rater_1,Quella locomotiva è un drago,4,6,2
rater_1,Quella ruga è un burrone,5,6,5
rater_1,Quel vestito è una tenda,6,5,2
rater_1,Quel lago è un cristallo,5,6,1
rater_1,Quel sorriso è una stella,6,6,2
rater_1,Quella pelle è una porcellana,4,6,3
rater_1,Quel prato è un velluto,4,6,1
rater_1,Quel mento è un precipizio,5,6,5
rater_1,Quel viso è una seta,6,6,2
rater_1,Quella nebbia è un muro,5,6,1
rater_1,Quell'orecchio è una padella,5,4,2
rater_1,Quella mano è una grattugia,5,6,6
