annotator,metaphor,FAMILIARITY_synthetic,DIFFICULTY_synthetic,MEANINGFULNESS_synthetic
1,stagno di buio,1.989109147,3.995922454,2.994938307
1,brivido di ferro,2.670265472,2.926057752,3.9995739
1,onda di lamento,3.837246919,2.000003732,4.731058402
1,albero di nuvole,2.002463018,3.18189108,3.962597414
1,rami d'oro,4.268541954,1.18242552,4.904647107
1,onda di parole,4.962606313,1.000000648,4.998830486
1,fiato di primavera,3.77701881,1.999290332,4.880797036
1,cime dello spirito,3.006665317,2.500251555,4.037326773
1,semi di dolore,3.822625692,1.977027413,4.962672874
1,occhi d'acciaio,3.48035697,1.395829404,3.970739166
1,goccia di luce,4.679177149,1.000000007,4.999995215
1,grido delle campane,2.244165602,2.964618109,3.817339031
1,teschio di corallo,1.002472777,4.001342746,2.622486086
1,capriole di fumo,1.777320248,3.619251349,3.345076741
1,nuvole di fuoco,3.93412733,1.999976191,4.939913209
1,canto della tenebra,3.000113265,2.500118837,4.010986895
1,tessuto di fumi,1.996706576,3.075851263,3.622407378
1,oblio della valle,3.038640706,2.028977166,4.060059208
1,fiocco di luna,4.268852262,1.000016702,4.999738793
1,uragano di sangue,3.23836472,2.034857483,4.679176115
1,morso del pettine,1.011030513,3.999268477,2.000073625
1,balbettio del mare,1.999972533,3.182415724,3.994854718
1,occhi di carbone,2.128096745,2.012894331,3.377626324
1,affanno dei venti,3.004294408,2.000787657,4.003172606
1,piede di vento,3.337471239,1.014461939,4.471472411
1,vene della terra,3.883235292,1.047426264,4.999664606
1,stracci di nubi,2.940464153,2.000307163,3.999409868
1,naso di madreperla,1.060087142,3.924115613,2.029314542
1,onda di tristezza,4.267856154,1.731058595,4.996827315
1,lava di ghiaccio,1.999116484,3.81777115,3.001561576
1,matassa di pasta,3.905157445,1.000000531,3.98559728
1,cielo d'ambra,3.883925873,1.777320243,4.999569438
1,canto dell'acqua,3.766036759,1.924264509,4.991422505
1,gradini del pensiero,3.000420427,3.0,4.000261154
1,tramonti di sangue,2.278974831,3.850937096,4.294276448
1,silenzio degli occhi,3.365417257,2.733353878,4.320723615
1,ali del ramo,1.997544078,3.985867144,2.999983445
1,volo del cuore,4.037320754,1.999903966,4.996827316
1,respiro del mare,4.001671509,1.999956862,4.982013787
1,onda della preghiera,3.001011074,2.998169368,4.000335303
1,foreste d'oro,3.935372006,1.939915103,4.679177149
1,pianto di stelle,2.731639714,3.320520441,4.001167516
1,siepe di scrupoli,1.999997759,3.999567976,3.001891378
1,scintilla di senape,1.02931298,4.817559432,1.999797405
1,cecità del sonno,2.045366087,3.880083779,3.377214792
1,cielo d'oro,4.851949232,1.000000306,4.999995215
1,miele dell'oblio,3.951254118,2.119203995,4.679178398
1,ombre di pace,4.013510955,1.998830515,4.622459329
1,corona di nebbia,3.000425772,2.999448982,4.000000219
1,cuore di diamante,4.880415207,1.000000648,4.999664646
1,onda di riconoscenza,3.961859598,2.000168071,4.622459314
1,folla di pietra,2.017991198,3.904630751,3.000701781
1,ruscello di rose,3.370161897,2.002619909,4.022977292
1,soffio di paura,3.99909168,1.993430538,4.679178512
1,barba di rame,2.046649674,2.998229011,3.066222318
1,torrente di gioia,4.027812276,1.060086651,4.999983299
1,ponte d'argento,3.909794121,1.562176671,4.075858145
1,ombra del vento,3.004507505,2.54179227,4.02147693
1,volto di fiamma,2.985638164,2.014575044,4.017981427
1,fiore di fede,4.014402723,1.320821313,4.991422476
1,occhio del pensiero,2.011175992,3.924123809,3.029334192
1,prato di velluto,2.462173442,2.054883744,3.993465577
1,fili di pioggia,3.976629691,1.029312253,4.562131322
1,ombra di tristezza,4.904628119,1.000000145,4.999992111
1,fantasmi di pace,3.0,2.047425573,4.000026888
1,cielo di perla,3.843710237,1.003172685,4.995929839
1,oasi di capelli,1.006692875,3.999424299,2.000041671
1,velo d'acqua,3.918605004,1.73105858,4.182424821
1,alba di perla,4.070666034,1.002472623,4.999796572
1,schermo di stoffa,2.000258459,2.998502544,3.002747538
1,fiocchi di nuvole,3.376976756,1.998089967,4.029299233
