Metaphor,Met_structure,PHISICALITY_human,IMAGEABILITY_human
Quegli scalatori sono scoiattoli,Nominal predicative,"3,684210526","4,333333333"
Alcuni bambini sono fontane,Nominal predicative,3,"4,315789474"
Certi banchieri sono vampiri,Nominal predicative,"2,105263158","3,888888889"
Alcuni colleghi sono zecche,Nominal predicative,"1,526315789","2,833333333"
Certi giornalisti sono avvoltoi,Nominal predicative,"1,7","4,315789474"
Alcuni professori sono enciclopedie,Nominal predicative,"1,35","3,315789474"
Quei poliziotti sono leoni,Nominal predicative,"2,473684211","3,111111111"
Certe acconciature sono cespugli,Nominal predicative,"6,105263158","6,444444444"
Certe fanciulle sono rose,Nominal predicative,"3,578947368","3,555555556"
Certe indossatrici sono bambole,Nominal predicative,"5,45","5,263157895"
Certi bimbetti sono colla,Nominal predicative,"2,15","3,789473684"
Alcuni venditori sono ortiche,Nominal predicative,"1,894736842","2,222222222"
Certi ladri sono gatti,Nominal predicative,"3,55","4,315789474"
Alcune suocere sono vipere,Nominal predicative,"1,526315789","4,055555556"
Alcuni atleti sono statue,Nominal predicative,"6,1","6,157894737"
Certi ginnasti sono burattini,Nominal predicative,"3,789473684","3,888888889"
Quelle ballerine sono libellule,Nominal predicative,"4,5","4,894736842"
Quelle bambine sono zuccherini,Nominal predicative,"2,35","3,631578947"
Quei chitarristi sono mitraglie,Nominal predicative,"1,7","3,157894737"
Certi impiegati sono zerbini,Nominal predicative,"1,631578947","4,111111111"
Alcuni neonati sono batuffoli,Nominal predicative,"5,368421053",5
Alcuni cantanti sono usignoli,Nominal predicative,"3,105263158","4,5"
Certi pesisti sono ippopotami,Nominal predicative,"5,7","5,210526316"
Quei cuochi sono mongolfiere,Nominal predicative,"3,789473684","3,944444444"
Alcuni politici sono pavoni,Nominal predicative,"2,3","4,157894737"
Quei degenti sono mummie,Nominal predicative,"4,85","5,578947368"
Certi insegnanti sono ghiaccioli,Nominal predicative,"2,05","3,368421053"
Certi fruttivendoli sono megafoni,Nominal predicative,3,"4,578947368"
Alcuni amici sono ancore,Nominal predicative,"1,263157895","3,611111111"
Certi burocrati sono fossili,Nominal predicative,"2,947368421","3,944444444"
Alcuni anziani sono lumache,Nominal predicative,"4,157894737","4,833333333"
Certi corridori sono lepri,Nominal predicative,"4,263157895","5,611111111"
Quegli scolari sono uragani,Nominal predicative,"2,5","4,473684211"
Alcune segretarie sono agende,Nominal predicative,"1,95","3,736842105"
Certi leader sono fari,Nominal predicative,"1,368421053","3,111111111"
Certi scienziati sono lampi,Nominal predicative,2,"2,888888889"
Quegli eremiti sono lupi,Nominal predicative,"1,9","3,421052632"
Quelle spose sono nuvole,Nominal predicative,"3,368421053","3,833333333"
Certi nasi sono uncini,Nominal predicative,"6,7","6,421052632"
Quelle labbra sono canotti,Nominal predicative,"6,578947368","6,5"
Certi bicipiti sono sassi,Nominal predicative,"6,4","5,473684211"
