annotator,metaphor,FAMILIARITY_synthetic,MEANINGFULNESS_synthetic
1,Alice disegna il suo futuro con Alberto,4,5
1,Laura ricama il discorso con tanti dettagli,4,6
1,Guido timbra il passaggio all' età adulta ,4,6
1,Gaia rammenda i rapporti con i genitori,4,6
1,Il giornalista accende l'interesse di Luca,4,5
1,Il professore apre la mente degli alunni,4,6
1,Il laureato chiude un capitolo della sua vita,4,6
1,Matilde getta la tristezza alle spalle,4,6
1,Il carabiniere monta gli indizi del delitto,4,6
1,La nonna attacca i ricordi nella memoria,4,6
1,Lo scienziato spacca il problema nei dettagli,4,6
1,Il cacciatore rompe la quiete del bosco,4,6
1,Monica butta le speranze nel dimenticatoio,4,6
1,Vittorio spezza la noia con un film,4,6
1,L'avvocato tocca il centro della questione,4,6
1,Il politico trita le idee degli avversari,4,5
1,Annalisa scava i segreti dell'animo ,4,6
1,Marcella colpisce il cuore del suo fidanzato,4,6
1,Antonio solleva il dolore del suo amico,4,6
1,Alessandro versa le energie nello studio,4,6
1,Il poliziotto strappa una confessione al ladro,4,6
1,Elisa spazza i problemi con decisione,4,6
1,Anna raccoglie le confidenze dell' amica,4,5
1,Sara sciacqua la coscienza con la beneficienza,4,2
1,Il giudice addita le colpe degli imputati,4,6
1,Il dirigente cuce nuovi rapporti di lavoro,4,2
1,Il giovane coglie l' opportunità con entusiasmo,4,6
1,L' inventore sfoglia le idee nella sua testa,4,5
1,Silvia afferra l' intuizione del collega,4,6
1,La madre costruisce la personalità del figlio,4,5
1,Adele calpesta i sogni della figlia ,4,6
1,Carlo calcia le critiche degli invidiosi ,4,6
1,L' architetto saltella da un' idea all' altra ,4,6
1,Lo studente zoppica verso l' esame di storia,4,6
1,Lisa corre verso l' amore con ingenuità,4,6
1,Il nonno cammina tra i ricordi d' infanzia,4,6
1,L' imprenditore segue l' istinto con decisione,4,6
1,Aldo fugge dagli obblighi del matrimonio,4,6
1,Marco percorre il destino del campione,4,3
1,Sofia attraversa le difficoltà con coraggio,4,6
1,Mario arriva alla decisione con fatica,4,6
1,Il paziente salta l' appuntamento con il dottore,4,6
1,Marta giunge alla conclusione del discorso,4,6
1,Il critico entra nella discussione con foga,4,6
1,Luigi avanza tra i problemi della vita,4,5
1,Giorgio passa dalla gioia alla disperazione ,4,6
