ID;Met_structure;Metaphor;Translation (english);Source;Author;Type_of_text;Introductory_sentence;Original_context;length_context;Structure_type;Word1;Length_topic;Frequency_topic;Concreteness_topic;Word2;Length_vehicle;Frequency_vehicle;Concreteness_vehicle;SemanticDistance;Cloze_probability_withoucontext;Familiarity_withoutcontext;Concreteness_withoutcontext;Difficulty_withoutcontext;Meaningfulness_withoutcontext;Gulpease_incontext;Cloze_probability_incontext;Familiarity_incontext;Concreteness_incontext;Difficulty_incontext;Meaningfulness_incontext;Bambini et al. (2014);IUSS NEPLab MetaLiterary study
FA_LIT413;Genitive;incertezza di poesia;uncertainty of poetry;Fuochi di bivacco;Oriani, Alfredo;PROSE;;"Dalle pareti, statue mezzane di
santi cappuccini pregano, colla faccia estatica, immobili in un gran
gesto di passione: e la vernice ha loro rifatta quasi la tonaca, e sono
calvi, lucidi, ingenui, puliti: ma l'ombra della chiesa ridà loro una
incertezza di poesia come in un mistero di lontananza";47;TV;incertezza;10;123;1,82;poesia;6;153;2,934;0,733;;;;;;;;;;;;N;Y
FA_LIT238;Genitive;idee di sangue;ideas of blood;Poesie e novelli in versi;Fontana, Ferdinando;POEM;;"Ma in questa ora fatale
Io medito un delitto; ed accarezzo
Nefande idee di sangue";13;TV;idee;4;1058;2,155;sangue;6;473;4,181;0,749;;;;;;;;;;;;N;Y
FA_LIT220;Genitive;natura di fuoco;nature of fire;L'Illusione;De Roberto, Federico;PROSE;;"Era stato sul punto d'impazzire, poi aveva viaggiato lungamente; di
ritorno in patria, s'era buttato alla politica. Possedeva una coltura
brillante, era un oratore irresistibile, una natura di fuoco";29;TV;natura;6;525;2,275;fuoco;5;609;4,179;0,518;;;;;;;;;;;;N;Y
FA_LIT237;Genitive;amore di fuoco;love of fire;Poesie e novelli in versi;Fontana, Ferdinando;POEM;;"Oggi ho perduto
L'illusione del mio primo amore!
Un amore di fuoco, uno sfrenato
Abbandono dei sensi";15;TV;amore;5;1153;2,978;fuoco;5;609;4,179;0,726;;;;;;;;;;;;N;Y
FA_LIT209;Genitive;atmosfera di piombo;atmosphere of lead;"Speranze e glorie; Le tre capitali: Torino, Firenze, Roma";De Amicis, Edmondo;PROSE;;"Voi conoscete l'immaginazione terribile del Carlyle, che raffigura il
mondo presente in una landa selvaggia e caotica, coperta di nebbie
pestilenti, gravata d'un'atmosfera di piombo";26;TV;atmosfera;9;212;3,01;piombo;6;68;4,616;0,805;;;;;;;;;;;;N;Y
FA_LIT181;Genitive;pensieri di fumo;thoughts of smoke;Angiola Maria: Storia domestica;Carcano, Giulio;PROSE;;"Agitato da continui
pensieri di fumo e d'ambizione, travagliato da mala vicenda nella sua
domestica economia, egli era quasi sempre meditabondo, accigliato,
dispettoso";21;TV;pensieri;8;426;3,059;fumo;4;117;3,846;0,688;;;;;;;;;;;;N;Y
FA_LIT381;Genitive;canto di morte;song of death;Monotonie;Oriani, Alfredo;POEM;;"Invano con convulse dita
    tenti la cetra del tuo biondo Apollo
    a tal canto di morte — o mio poeta,
                    è d'avorio la cetra";50;TV;canto;5;143;3,138;morte;5;815;3,138;0,807;;;;;;;;;;;;N;Y
FA_LIT471;Genitive;canto di primavera;song of spring;La moglie di Sua Eccellenza;Rovetta, Gerolamo;PROSE;;"emigia preme la mano ch'egli le porge, assai marcatamente,
con un rapido sguardo di tristezza e d'angoscia, poi subito, bianca
e leggerissima, vaporosa, alzando la voce allegra e festante come
un canto di primavera, si avvicina agli altri che l'aspettano fermi
dinanzi al teatro";43;TV;canto;5;143;3,138;primavera;9;210;3,645;0,666;;;;;;;;;;;;N;Y
FA_LIT013;Genitive;canto della tenebra;song of the darkness;Il canto della tenebra;Campana;POEM;;;;TV;canto;5;143;3,138;tenebra;7;30;3,379;0,816;;2,133;1,733;2,667;2,8;;;;;;;Y;N
FA_LIT015;Genitive;canto delle foglie;song of the leaves;Poemi del Risorgimento;Pascoli;POEM;In questo brano si descrive una scena campestre.;Veniva allora, per le tenebre, una \ lupa, e fiutava il chiuso lupercale. \ E Fauno, il buono, nelle selve ombrose \ cantava il canto delle foglie ai venti, \ invisibile.;31;TV;canto;5;143;3,138;foglie;6;190;4,246;0,856;0;2,733;1,8;1,933;3,933;63;0;2,33;1,53;2,67;2,6;Y;N
