annotator,metaphor,FAMILIARITY_synthetic,MEANINGFULNESS_synthetic
1,Alice disegna il suo futuro con Alberto,4.535907476,4.953296078
1,Laura ricama il discorso con tanti dettagli,4.518920438,5.836402042
1,Guido timbra il passaggio all' età adulta ,4.535907476,5.912049602
1,Gaia rammenda i rapporti con i genitori,4.55469145,5.884102428
1,Il giornalista accende l'interesse di Luca,4.55469145,5.329702012
1,Il professore apre la mente degli alunni,4.195332529,5.748697739
1,Il laureato chiude un capitolo della sua vita,4.654532887,6.143466294
1,Matilde getta la tristezza alle spalle,4.573777756,5.75766151
1,Il carabiniere monta gli indizi del delitto,4.598164808,5.804667478
1,La nonna attacca i ricordi nella memoria,4.654532845,5.12616544
1,Lo scienziato spacca il problema nei dettagli,4.614891335,5.804667461
1,Il cacciatore rompe la quiete del bosco,4.573777756,6.118753678
1,Monica butta le speranze nel dimenticatoio,4.593351183,5.842476984
1,Vittorio spezza la noia con un film,4.211515515,5.822490456
1,L'avvocato tocca il centro della questione,4.480568731,5.890740838
1,Il politico trita le idee degli avversari,4.593351146,4.095589094
1,Annalisa scava i segreti dell'animo ,4.482421619,5.724074184
1,Marcella colpisce il cuore del suo fidanzato,4.575402244,5.894756782
1,Antonio solleva il dolore del suo amico,4.593351145,5.732991584
1,Alessandro versa le energie nello studio,4.516554133,5.951572457
1,Il poliziotto strappa una confessione al ladro,4.554691413,6.181389526
1,Elisa spazza i problemi con decisione,4.448604182,6.044565246
1,Anna raccoglie le confidenze dell' amica,4.242961891,5.120872138
1,Sara sciacqua la coscienza con la beneficienza,4.105671056,2.025539853
1,Il giudice addita le colpe degli imputati,4.59816483,6.221719886
1,Il dirigente cuce nuovi rapporti di lavoro,4.593351145,2.22616533
1,Il giovane coglie l' opportunità con entusiasmo,4.654532883,6.171334482
1,L' inventore sfoglia le idee nella sua testa,4.258884984,5.152824451
1,Silvia afferra l' intuizione del collega,4.462173459,5.628383414
1,La madre costruisce la personalità del figlio,4.632237885,5.228680574
1,Adele calpesta i sogni della figlia ,4.608349767,5.949309142
1,Carlo calcia le critiche degli invidiosi ,4.679843312,5.950812705
1,L' architetto saltella da un' idea all' altra ,4.554691431,5.642606105
1,Lo studente zoppica verso l' esame di storia,4.502353835,5.8094739
1,Lisa corre verso l' amore con ingenuità,4.582148643,5.779469381
1,Il nonno cammina tra i ricordi d' infanzia,4.598164827,6.070269288
