annotator,metaphor,metaphor_structure,FAMILIARITY_synthetic,MEANINGFULNESS_synthetic,body relatedness
1,Quell'alito è una fogna,Nominal predicative,6,5,7
1,Quell'uragano è un carrarmato,Nominal predicative,4,6,1
1,Quella borsa è un macigno,Nominal predicative,3,4,4
1,Quella città è una giungla,Nominal predicative,5,6,1
1,Quelle guance sono pesche,Nominal predicative,6,6,7
1,Quel bacio è un peperoncino,Nominal predicative,5,5,7
1,Quella bocca è una fragola,Nominal predicative,7,6,7
1,Quella locomotiva è un drago,Nominal predicative,2,4,1
1,Quella ruga è un burrone,Nominal predicative,4,5,7
1,Quel vestito è una tenda,Nominal predicative,2,3,1
1,Quel lago è un cristallo,Nominal predicative,4,5,1
1,Quel sorriso è una stella,Nominal predicative,6,6,7
1,Quella pelle è una porcellana,Nominal predicative,5,4,7
1,Quel prato è un velluto,Nominal predicative,3,4,1
1,Quel mento è un precipizio,Nominal predicative,4,6,7
1,Quel viso è una seta,Nominal predicative,5,5,7
1,Quella nebbia è un muro,Nominal predicative,4,4,1
1,Quell'orecchio è una padella,Nominal predicative,2,3,4
1,Quella mano è una grattugia,Nominal predicative,5,5,7
1,Quel naso è un uncino,Nominal predicative,5,5,7
1,Quei denti sono una ghigliottina,Nominal predicative,6,6,7
1,Quelle palpebre sono serrande,Nominal predicative,6,5,6
1,Quelle ciglia sono un ventaglio,Nominal predicative,6,6,6
1,Quei piedi sono zattere,Nominal predicative,4,5,6
1,Quella pancia è una mongolfiera,Nominal predicative,5,5,7
1,Quella barba è un batuffolo,Nominal predicative,3,4,4
1,Quegli zigomi sono montagne,Nominal predicative,5,6,7
1,Quelle gambe sono trampoli,Nominal predicative,5,5,7
1,Quella caviglia è un pallone,Nominal predicative,4,4,6
1,Quel braccio è una sbarra,Nominal predicative,5,5,7
1,Quei capelli sono spaghetti,Nominal predicative,5,5,4
1,Quella fronte è una pianura,Nominal predicative,4,5,1
1,Quegli addominali sono marmo,Nominal predicative,5,5,7
1,Quelle labbra sono un canotto,Nominal predicative,5,5,7
1,Quei bicipiti sono sassi,Nominal predicative,5,5,7
1,Quelle unghie sono ruspe,Nominal predicative,4,4,7
1,Quelle dita sono tentacoli,Nominal predicative,6,5,7
1,Quei peli sono aghi,Nominal predicative,6,5,6
1,Quel brufolo è un vulcano,Nominal predicative,5,5,7
