Metaphor,Met_structure,FAMILIARITY_human,MEANINGFULNESS_human,BODY_RELATEDNESS_human
Quella casa è un gioiello,Nominal predicative,"5,807692308","6,346153846","2,884615385"
Quell'ospedale è un labirinto,Nominal predicative,"5,958333333","6,083333333","2,166666667"
Quel diario è una miniera,Nominal predicative,"4,083333333","5,041666667","1,666666667"
Quell'aiuola è un arcobaleno,Nominal predicative,"2,916666667",4,"1,916666667"
Quel sonaglio è una camomilla,Nominal predicative,,"2,916666667",2
Quella nuvola è una perla,Nominal predicative,,"3,416666667","1,708333333"
Quella firma è un geroglifico,Nominal predicative,,"6,208333333","2,916666667"
Quegli abiti sono petali,Nominal predicative,,"2,625","2,291666667"
Quel mare è uno smeraldo,Nominal predicative,,"5,333333333","2,375"
Quella piscina è un brodo,Nominal predicative,,"5,291666667","2,708333333"
Quel pannolino è una diga,Nominal predicative,"2,083333333","3,208333333","3,5"
Quell'aspirapolvere è un'astronave,Nominal predicative,"3,5","4,208333333","1,75"
Quel bar è un cimitero,Nominal predicative,"5,166666667","5,166666667","1,833333333"
