FA_LIT_ID;Met_structure;Metaphor;Translation (Eng);Source;Author;Type_of_text;Original_context;Length_context;Order_type;W1;Length_W1;Frequency_W1MetaLit;Concreteness_W1MetaLit;W2;Length_W2 ;Frequency_W2MetaLit;Concreteness_W2MetaLit;SemanticDistanceMetaLit;Bambini et al. (2014)
FA_LIT116;Genitive;brividi di delizia;shivers of delight;Novelle umoristiche;Albertazzi, Adolfo;PROSE;"mentre l'aria, risentita dell'autunno e rinfrescata dalla recente
pioggia, al veloce incontro suscitava nel loro sangue brividi di
delizia.";19;VT;brividi;7;32;3,795637025;delizia;7;10;3,164709182;0,723774672;N
FA_LIT117;Genitive;fervore di luce;fervor of light;Novelle umoristiche;Albertazzi, Adolfo;PROSE;"il suo sguardo a poco a poco avvertiva come un
fervore di luce che s'andava definendo in un miraggio di felicità";21;VT;fervore;7;25;2,614442562;luce;4;585;3,436777643;0,744578272;N
FA_LIT118;Genitive;fiamma di tentazione;flame of temptation;Novelle umoristiche;Albertazzi, Adolfo;PROSE;"Ora gli occhi si riempirono di lagrime e fiammeggiarono; a un tempo,
lagrime di duolo e fiamma di tentazione";19;VT;fiamma;6;60;4,01279983;tentazione;10;74;2,586529842;0,728917629;N
FA_LIT119;Genitive;miraggio di felicità;mirage of happiness;Novelle umoristiche;Albertazzi, Adolfo;PROSE;"il suo sguardo a poco a poco avvertiva come un
fervore di luce che s'andava definendo in un miraggio di felicità";21;VT;miraggio;8;21;3,035503742;felicità;8;153;2,746953782;0,573235959;N
FA_LIT120;Genitive;vento di follia;wind of madness;Una Donna;Aleramo, Sibilla;PROSE;E a tratti come un vento di follia m’investiva;9;VT;vento;5;285;3,830485486;follia;6;118;2,961739989;0,844469443;N
FA_LIT121;Genitive;ali di conchiglie;wings of shells;Il passaggio: Romanzo;Aleramo, Sibilla;PROSE;"Ali di ciclami, ali di conchiglie. Foreste dall'ombra bionda, dune
lunari. In un giorno di tempesta, senza traccia in cielo di colore,
scorsi d'improvviso il più vago iride in un breve lembo di schiuma
lasciato da un'onda sulla rena";39;VT;ali;3;76;4,080079827;conchiglie;10;22;4,718829315;0,626941502;N
FA_LIT122;Genitive;capelli di fiamma;hair of flame;Il passaggio: Romanzo;Aleramo, Sibilla;PROSE;"Mi sono svegliata chiamando Felice, Felice dagli occhi di genziana
e dai capelli di fiamma, Felice che ha i miei anni e l'alta gentile
figura che vorrei veder una volta profilata nel cielo su una delle
nostre balze";36;TV;capelli;7;383;4,360662555;fiamma;6;60;4,01279983;0,755995095;N
FA_LIT123;Genitive;corde di volontà;ropes of will;Il passaggio: Romanzo;Aleramo, Sibilla;PROSE;"Anche se l'amore fosse altro, fosse quale l'ho contemplato in me
meraviglioso di virtù, c'è qualcosa ch'esso non attinge, non attingerà
mai, nodo fondo del mio essere, fibre di sogno, fibre segrete, corde di
volontà invisibili fra la mia prima e la mia ultima giornata";46;VT;corde;5;39;4,441200953;volontà;7;262;1,634733141;0,838423654;N
FA_LIT124;Genitive;cornici di ghiaccio;frames of ice;Il passaggio: Romanzo;Aleramo, Sibilla;PROSE;"Oro levante dal mare, cornici di ghiaccio verso sera incandescenti,
solchi di voli: in quello sguardo mai più";17;VT;cornici;7;9;4,119050639;ghiaccio;8;80;4,121959495;0,827855274;N
FA_LIT125;Genitive;costellazioni di occhi;constellations of eyes;Il passaggio: Romanzo;Aleramo, Sibilla;PROSE;Rigano il firmamento, s'avventa dalla terra sulla loro molle scìa il desiderio d'infinite costellazioni di occhi, il desiderio, il voto;22;VT;costellazioni;13;4;3,5519589;occhi;5;972;4,098409381;0,816455185;N
FA_LIT126;Genitive;ebbrezza di luce;intoxication of light;Il passaggio: Romanzo;Aleramo, Sibilla;PROSE;"la storia di questa Rina è
    la storia di ogni lirismo che vuole ascendere, liberarsi e
    divenire puro spirito; e poi, in una ebbrezza di luce e di
    musica, dissolversi ed annientarsi";41;VT;ebbrezza;8;16;3,618122899;luce;4;585;3,436777643;0,773443907;N
FA_LIT127;Genitive;fame di spettri;hunger of specters;Il passaggio: Romanzo;Aleramo, Sibilla;PROSE;"Morbo fin allora sconosciuto, che
respirai, atroce gelosia del passato, fame di spettri";12;TV;fame;4;173;3,657239245;spettri;7;6;2,962794977;0,797645897;N
FA_LIT128;Genitive;fibre di sogno;fibers of dreams;Il passaggio: Romanzo;Aleramo, Sibilla;PROSE;"Anche se l'amore fosse altro, fosse quale l'ho contemplato in me
meraviglioso di virtù, c'è qualcosa ch'esso non attinge, non attingerà
mai, nodo fondo del mio essere, fibre di sogno, fibre segrete, corde di
volontà invisibili fra la mia prima e la mia ultima giornata";46;VT;fibre;5;37;4,025410151;sogno;5;377;3,246014585;0,913152851;N
FA_LIT129;Genitive;frantumi di visione;shatters of vision;Il passaggio: Romanzo;Aleramo, Sibilla;PROSE;"La nave riportandomi traeva per sempre con me a riva frantumi di
visione";12;VT;frantumi;8;17;4,006023215;visione;7;148;2,674109557;0,764818817;N
FA_LIT130;Genitive;giardino di cristallo;crystal garden;Il passaggio: Romanzo;Aleramo, Sibilla;PROSE;"Indicai Roma, come un giardino di cristallo che stesse appena sorgendo
sullo sfondo di quell'immensità.";15;TV;giardino;8;238;4,139263304;cristallo;9;33;3,965281938;0,690514714;N
FA_LIT131;Genitive;gioia di tetti;joy of roofs;Il passaggio: Romanzo;Aleramo, Sibilla;PROSE;"Ritmo, ritrovata adolescenza,
    gioia del colore,
    occhi verdi di sole sul greto,
    scheggiato turchese immenso dell'onde,
    biondezza di cirri e di rupi,
    rosea gioia di tetti,
    colore, ritmo,
    come una bianconera rondine
    l'anima ti solca.";61;VT;gioia;5;204;3,050767233;tetti;5;36;4,748366633;0,857340813;N
FA_LIT132;Genitive;grumo di pietà;lump of pity;Il passaggio: Romanzo;Aleramo, Sibilla;PROSE;"Così quella ch'io fui per Andrea e quella che fui per la donna di cui
non dico il nome, rimane per sempre, cosa bianca, grumo di pietà";27;VT;grumo;5;6;4,46891793;pietà;5;57;3,365320019;0,790595233;N
FA_LIT133;Genitive;guance di pesca;cheeks of peach;Il passaggio: Romanzo;Aleramo, Sibilla;PROSE;"Avevo le guance di rosa e lunghi e tanti capelli, avevo dolce la voce
e apparivo pietosa";16;TV;guance;6;26;4,488031637;pesca;5;98;4,120848833;0,752311915;N
FA_LIT134;Genitive;masso di dolore;boulder of pain;Il passaggio: Romanzo;Aleramo, Sibilla;PROSE;"Questo mio
masso di dolore — va in schegge su voi — le schegge vi lacerano, lo so";17;VT;masso;5;3;4,626817737;dolore;6;296;3,287649565;0,738155425;N
FA_LIT135;Genitive;nodo di tormento;knot of torment;Il passaggio: Romanzo;Aleramo, Sibilla;PROSE;"Nodo di tormento oscuro, sonnambolico tedio insensato è nelle parole
che odo, stanche, e nulla esse m'insegnano";17;VT;nodo;4;48;3,881762512;tormento;8;22;3,070969853;0,707347065;N
FA_LIT136;Genitive;occhi di genziana;eyes of gentian;Il passaggio: Romanzo;Aleramo, Sibilla;PROSE;"Mi sono svegliata chiamando Felice, Felice dagli occhi di genziana
e dai capelli di fiamma, Felice che ha i miei anni e l'alta gentile
figura che vorrei veder una volta profilata nel cielo su una delle
nostre balze";36;TV;occhi;5;972;4,098409381;genziana;8;1;4,311998438;0,925210051;N
FA_LIT137;Genitive;ritmo di disperazione;rhythm of despair;Il passaggio: Romanzo;Aleramo, Sibilla;PROSE;"piedi che han seguito
l'infelice nel suo passo oscillante, in un ugual ritmo di violenza e di
disperazione";17;VT;ritmo;5;168;3,367243183;disperazione;12;101;3,017188741;0,846871287;N
FA_LIT138;Genitive;singhiozzo di felicità;sob of happiness;Il passaggio: Romanzo;Aleramo, Sibilla;PROSE;"sul letto
dove ha soffocato tanti gridi per il suo dolore di madre, una donna si
abbatte un pomeriggio con un singhiozzo di felicità, tremendo";24;VT;singhiozzo;10;12;3,976932343;felicità;8;153;2,746953782;0,793753833;N
FA_LIT139;Genitive;sogni di pietra;dreams of stone;Il passaggio: Romanzo;Aleramo, Sibilla;PROSE;"Ecco pianeggianti
giardini, fontane, magnolie in fiore, e anche grigi sogni di pietra,
castelli grigi tra rami spogli stillanti di pioggia contro il sole come
portentose ragnatele";24;VT;sogni;5;177;3,312287632;pietra;6;124;4,601810556;0,796199873;N
FA_LIT140;Genitive;vento di volontà;wind of will;Il passaggio: Romanzo;Aleramo, Sibilla;PROSE;"L'investe, essa sospesa come
veramente disgregati atomi, il vento di volontà strane";12;VT;vento;5;285;3,830485486;volontà;7;262;1,634733141;0,788311869;N
FA_LIT141;Genitive;firmamento di corolle;firmament of corollas;Momenti: Liriche;Aleramo, Sibilla;POEM;"Ed ogni rosa    in sua essenza preziosa
    chiedeva d'essere adorata
    e ognuna i nostri sguardi smarrivano
    nel profuso bel firmamento,
    terrestre firmamento di corolle";40;VT;firmamento;10;9;3,580957734;corolle;7;6;3,832611821;0,756715328;N
