annotator,metaphor,FAMILIARITY_synthetic,MEANINGFULNESS_synthetic
1,Alice disegna il suo futuro con Alberto,4,3
1,Laura ricama il discorso con tanti dettagli,5,7
1,Guido timbra il passaggio all' età adulta ,6,6
1,Gaia rammenda i rapporti con i genitori,4,5
1,Il giornalista accende l'interesse di Luca,3,4
1,Il professore apre la mente degli alunni,6,7
1,Il laureato chiude un capitolo della sua vita,6,6
1,Matilde getta la tristezza alle spalle,5,5
1,Il carabiniere monta gli indizi del delitto,5,6
1,La nonna attacca i ricordi nella memoria,6,5
1,Lo scienziato spacca il problema nei dettagli,5,7
1,Il cacciatore rompe la quiete del bosco,4,5
1,Monica butta le speranze nel dimenticatoio,6,3
1,Vittorio spezza la noia con un film,5,4
1,L'avvocato tocca il centro della questione,6,7
1,Il politico trita le idee degli avversari,6,5
1,Annalisa scava i segreti dell'animo ,4,6
1,Marcella colpisce il cuore del suo fidanzato,5,6
1,Antonio solleva il dolore del suo amico,7,6
1,Alessandro versa le energie nello studio,5,6
1,Il poliziotto strappa una confessione al ladro,6,7
1,Elisa spazza i problemi con decisione,5,6
1,Anna raccoglie le confidenze dell' amica,6,5
1,Sara sciacqua la coscienza con la beneficienza,4,6
1,Il giudice addita le colpe degli imputati,7,6
1,Il dirigente cuce nuovi rapporti di lavoro,6,7
1,Il giovane coglie l' opportunità con entusiasmo,5,7
1,L' inventore sfoglia le idee nella sua testa,6,6
1,Silvia afferra l' intuizione del collega,6,5
1,La madre costruisce la personalità del figlio,6,6
1,Adele calpesta i sogni della figlia ,4,3
1,Carlo calcia le critiche degli invidiosi ,6,5
1,L' architetto saltella da un' idea all' altra ,6,6
1,Lo studente zoppica verso l' esame di storia,4,4
1,Lisa corre verso l' amore con ingenuità,4,4
1,Il nonno cammina tra i ricordi d' infanzia,7,6
1,L' imprenditore segue l' istinto con decisione,6,6
1,Aldo fugge dagli obblighi del matrimonio,4,4
1,Marco percorre il destino del campione,6,6
1,Sofia attraversa le difficoltà con coraggio,5,6
1,Mario arriva alla decisione con fatica,4,5
1,Il paziente salta l' appuntamento con il dottore,3,4
1,Marta giunge alla conclusione del discorso,6,7
1,Il critico entra nella discussione con foga,6,6
1,Luigi avanza tra i problemi della vita,5,5
1,Giorgio passa dalla gioia alla disperazione ,6,5
1,L' uomo raggiunge la felicità per un istante,4,5
1,La vicina scende nei particolari della storia,5,6
1,Mara inciampa negli imprevisti della vita,5,5
1,Nino esce dall' ossessione delle scommesse,5,4
1,Lo psicologo perlustra l' animo del paziente,7,6
1,L' adolescente girovaga nei sogni di successo,5,5
1,L' operaio arranca verso la paga di fine-mese,4,4
1,Elena scivola sulla domanda di filosofia,4,4
1,Il padre sgattaiola dall' impegno dei figli,5,4
1,Luca scappa dalla realtà con la meditazione,4,5
1,L' artista pedala sull' ispirazione del momento,5,6
1,Il direttore pesta i diritti dei lavoratori,6,6
1,Franco scalcia i rimorsi di coscienza,5,5
1,La ragazza passeggia tra le pagine del diario,5,6
2,Alice disegna il suo futuro con Alberto,4,3
2,Laura ricama il discorso con tanti dettagli,6,5
2,Guido timbra il passaggio all' età adulta ,3,4
2,Gaia rammenda i rapporti con i genitori,6,6
2,Il giornalista accende l'interesse di Luca,5,5
2,Il professore apre la mente degli alunni,6,7
2,Il laureato chiude un capitolo della sua vita,5,6
2,Matilde getta la tristezza alle spalle,6,4
2,Il carabiniere monta gli indizi del delitto,5,6
2,La nonna attacca i ricordi nella memoria,6,6
2,Lo scienziato spacca il problema nei dettagli,6,6
2,Il cacciatore rompe la quiete del bosco,4,6
2,Monica butta le speranze nel dimenticatoio,5,4
2,Vittorio spezza la noia con un film,5,5
2,L'avvocato tocca il centro della questione,6,6
2,Il politico trita le idee degli avversari,5,4
2,Annalisa scava i segreti dell'animo ,6,6
2,Marcella colpisce il cuore del suo fidanzato,5,5
2,Antonio solleva il dolore del suo amico,6,6
2,Alessandro versa le energie nello studio,5,6
2,Il poliziotto strappa una confessione al ladro,5,6
2,Elisa spazza i problemi con decisione,6,6
2,Anna raccoglie le confidenze dell' amica,6,6
2,Sara sciacqua la coscienza con la beneficienza,6,6
2,Il giudice addita le colpe degli imputati,6,7
2,Il dirigente cuce nuovi rapporti di lavoro,5,6
2,Il giovane coglie l' opportunità con entusiasmo,6,7
2,L' inventore sfoglia le idee nella sua testa,6,7
2,Silvia afferra l' intuizione del collega,6,6
2,La madre costruisce la personalità del figlio,6,6
2,Adele calpesta i sogni della figlia ,6,5
2,Carlo calcia le critiche degli invidiosi ,5,5
2,L' architetto saltella da un' idea all' altra ,6,6
2,Lo studente zoppica verso l' esame di storia,4,5
2,Lisa corre verso l' amore con ingenuità,4,5
2,Il nonno cammina tra i ricordi d' infanzia,6,6
2,L' imprenditore segue l' istinto con decisione,6,7
2,Aldo fugge dagli obblighi del matrimonio,6,5
2,Marco percorre il destino del campione,5,6
2,Sofia attraversa le difficoltà con coraggio,6,6
2,Mario arriva alla decisione con fatica,5,5
2,Il paziente salta l' appuntamento con il dottore,3,4
2,Marta giunge alla conclusione del discorso,6,6
2,Il critico entra nella discussione con foga,6,6
2,Luigi avanza tra i problemi della vita,5,5
2,Giorgio passa dalla gioia alla disperazione ,6,5
2,L' uomo raggiunge la felicità per un istante,6,6
2,La vicina scende nei particolari della storia,6,6
2,Mara inciampa negli imprevisti della vita,6,5
2,Nino esce dall' ossessione delle scommesse,5,5
2,Lo psicologo perlustra l' animo del paziente,6,7
2,L' adolescente girovaga nei sogni di successo,6,6
2,L' operaio arranca verso la paga di fine-mese,6,5
2,Elena scivola sulla domanda di filosofia,6,6
2,Il padre sgattaiola dall' impegno dei figli,5,5
2,Luca scappa dalla realtà con la meditazione,6,6
2,L' artista pedala sull' ispirazione del momento,6,7
2,Il direttore pesta i diritti dei lavoratori,5,5
2,Franco scalcia i rimorsi di coscienza,6,5
2,La ragazza passeggia tra le pagine del diario,6,6
3,Alice disegna il suo futuro con Alberto,5,4
3,Laura ricama il discorso con tanti dettagli,6,5
3,Guido timbra il passaggio all' età adulta ,3,6
3,Gaia rammenda i rapporti con i genitori,5,6
3,Il giornalista accende l'interesse di Luca,4,5
3,Il professore apre la mente degli alunni,6,6
3,Il laureato chiude un capitolo della sua vita,6,6
3,Matilde getta la tristezza alle spalle,6,6
3,Il carabiniere monta gli indizi del delitto,6,5
3,La nonna attacca i ricordi nella memoria,4,6
3,Lo scienziato spacca il problema nei dettagli,6,6
3,Il cacciatore rompe la quiete del bosco,6,5
3,Monica butta le speranze nel dimenticatoio,5,5
3,Vittorio spezza la noia con un film,6,6
3,L'avvocato tocca il centro della questione,6,5
3,Il politico trita le idee degli avversari,5,4
3,Annalisa scava i segreti dell'animo ,6,6
3,Marcella colpisce il cuore del suo fidanzato,5,6
3,Antonio solleva il dolore del suo amico,5,5
3,Alessandro versa le energie nello studio,6,6
3,Il poliziotto strappa una confessione al ladro,6,6
3,Elisa spazza i problemi con decisione,5,6
3,Anna raccoglie le confidenze dell' amica,6,6
3,Sara sciacqua la coscienza con la beneficienza,5,6
3,Il giudice addita le colpe degli imputati,6,6
3,Il dirigente cuce nuovi rapporti di lavoro,6,5
3,Il giovane coglie l' opportunità con entusiasmo,6,6
3,L' inventore sfoglia le idee nella sua testa,6,6
3,Silvia afferra l' intuizione del collega,6,5
3,La madre costruisce la personalità del figlio,6,5
3,Adele calpesta i sogni della figlia ,5,6
3,Carlo calcia le critiche degli invidiosi ,6,6
3,L' architetto saltella da un' idea all' altra ,6,6
3,Lo studente zoppica verso l' esame di storia,3,4
3,Lisa corre verso l' amore con ingenuità,5,6
3,Il nonno cammina tra i ricordi d' infanzia,6,6
3,L' imprenditore segue l' istinto con decisione,6,6
3,Aldo fugge dagli obblighi del matrimonio,4,5
3,Marco percorre il destino del campione,6,6
3,Sofia attraversa le difficoltà con coraggio,6,6
3,Mario arriva alla decisione con fatica,6,5
3,Il paziente salta l' appuntamento con il dottore,2,3
3,Marta giunge alla conclusione del discorso,6,6
3,Il critico entra nella discussione con foga,6,5
3,Luigi avanza tra i problemi della vita,5,6
3,Giorgio passa dalla gioia alla disperazione ,6,6
3,L' uomo raggiunge la felicità per un istante,6,6
3,La vicina scende nei particolari della storia,5,6
3,Mara inciampa negli imprevisti della vita,5,5
3,Nino esce dall' ossessione delle scommesse,3,5
3,Lo psicologo perlustra l' animo del paziente,6,6
3,L' adolescente girovaga nei sogni di successo,6,5
3,L' operaio arranca verso la paga di fine-mese,6,4
3,Elena scivola sulla domanda di filosofia,6,5
3,Il padre sgattaiola dall' impegno dei figli,5,5
3,Luca scappa dalla realtà con la meditazione,5,6
3,L' artista pedala sull' ispirazione del momento,6,6
3,Il direttore pesta i diritti dei lavoratori,2,4
3,Franco scalcia i rimorsi di coscienza,5,6
3,La ragazza passeggia tra le pagine del diario,6,5
4,Alice disegna il suo futuro con Alberto,6,3
4,Laura ricama il discorso con tanti dettagli,4,6
4,Guido timbra il passaggio all' età adulta ,5,6
4,Gaia rammenda i rapporti con i genitori,5,5
4,Il giornalista accende l'interesse di Luca,6,5
4,Il professore apre la mente degli alunni,7,6
4,Il laureato chiude un capitolo della sua vita,6,7
4,Matilde getta la tristezza alle spalle,4,5
4,Il carabiniere monta gli indizi del delitto,6,6
4,La nonna attacca i ricordi nella memoria,6,5
4,Lo scienziato spacca il problema nei dettagli,7,6
4,Il cacciatore rompe la quiete del bosco,6,6
4,Monica butta le speranze nel dimenticatoio,3,3
4,Vittorio spezza la noia con un film,6,5
4,L'avvocato tocca il centro della questione,7,6
4,Il politico trita le idee degli avversari,5,5
4,Annalisa scava i segreti dell'animo ,6,5
4,Marcella colpisce il cuore del suo fidanzato,6,6
4,Antonio solleva il dolore del suo amico,6,6
4,Alessandro versa le energie nello studio,5,6
4,Il poliziotto strappa una confessione al ladro,7,6
4,Elisa spazza i problemi con decisione,7,6
4,Anna raccoglie le confidenze dell' amica,6,6
4,Sara sciacqua la coscienza con la beneficienza,6,5
4,Il giudice addita le colpe degli imputati,7,6
4,Il dirigente cuce nuovi rapporti di lavoro,7,5
4,Il giovane coglie l' opportunità con entusiasmo,7,6
4,L' inventore sfoglia le idee nella sua testa,6,7
4,Silvia afferra l' intuizione del collega,6,7
4,La madre costruisce la personalità del figlio,7,6
4,Adele calpesta i sogni della figlia ,3,4
4,Carlo calcia le critiche degli invidiosi ,6,6
4,L' architetto saltella da un' idea all' altra ,6,6
4,Lo studente zoppica verso l' esame di storia,5,4
4,Lisa corre verso l' amore con ingenuità,4,5
4,Il nonno cammina tra i ricordi d' infanzia,6,6
4,L' imprenditore segue l' istinto con decisione,7,6
4,Aldo fugge dagli obblighi del matrimonio,4,4
4,Marco percorre il destino del campione,7,6
4,Sofia attraversa le difficoltà con coraggio,7,6
4,Mario arriva alla decisione con fatica,6,5
4,Il paziente salta l' appuntamento con il dottore,3,3
4,Marta giunge alla conclusione del discorso,7,6
4,Il critico entra nella discussione con foga,6,6
4,Luigi avanza tra i problemi della vita,6,5
4,Giorgio passa dalla gioia alla disperazione ,6,6
4,L' uomo raggiunge la felicità per un istante,6,6
4,La vicina scende nei particolari della storia,6,5
4,Mara inciampa negli imprevisti della vita,5,5
4,Nino esce dall' ossessione delle scommesse,5,5
4,Lo psicologo perlustra l' animo del paziente,7,6
4,L' adolescente girovaga nei sogni di successo,6,6
4,L' operaio arranca verso la paga di fine-mese,6,5
4,Elena scivola sulla domanda di filosofia,6,5
4,Il padre sgattaiola dall' impegno dei figli,5,3
4,Luca scappa dalla realtà con la meditazione,6,5
4,L' artista pedala sull' ispirazione del momento,7,6
4,Il direttore pesta i diritti dei lavoratori,5,6
4,Franco scalcia i rimorsi di coscienza,6,6
4,La ragazza passeggia tra le pagine del diario,6,4
5,Alice disegna il suo futuro con Alberto,3,2
5,Laura ricama il discorso con tanti dettagli,5,7
5,Guido timbra il passaggio all' età adulta ,7,6
5,Gaia rammenda i rapporti con i genitori,4,6
5,Il giornalista accende l'interesse di Luca,5,6
5,Il professore apre la mente degli alunni,6,7
5,Il laureato chiude un capitolo della sua vita,7,6
5,Matilde getta la tristezza alle spalle,4,5
5,Il carabiniere monta gli indizi del delitto,6,7
5,La nonna attacca i ricordi nella memoria,6,7
5,Lo scienziato spacca il problema nei dettagli,6,7
5,Il cacciatore rompe la quiete del bosco,5,6
5,Monica butta le speranze nel dimenticatoio,5,5
5,Vittorio spezza la noia con un film,5,6
5,L'avvocato tocca il centro della questione,6,7
5,Il politico trita le idee degli avversari,5,6
5,Annalisa scava i segreti dell'animo ,4,6
5,Marcella colpisce il cuore del suo fidanzato,5,6
5,Antonio solleva il dolore del suo amico,6,7
5,Alessandro versa le energie nello studio,6,7
5,Il poliziotto strappa una confessione al ladro,6,7
5,Elisa spazza i problemi con decisione,5,6
5,Anna raccoglie le confidenze dell' amica,4,6
5,Sara sciacqua la coscienza con la beneficienza,5,5
5,Il giudice addita le colpe degli imputati,6,7
5,Il dirigente cuce nuovi rapporti di lavoro,6,7
5,Il giovane coglie l' opportunità con entusiasmo,6,6
5,L' inventore sfoglia le idee nella sua testa,5,6
5,Silvia afferra l' intuizione del collega,5,6
