annotator,metaphor,FAMILIARITY_synthetic,MEANINGFULNESS_synthetic,BODY_RELATEDNESS_synthetic
1,Quell'ospedale è un labirinto,3.892115408,6.047415761,1.000203564
1,Quegli abiti sono petali,2.022977372,4.875539231,1.000013113
1,Quell'alito è una fogna,5.37144874,6.037326773,6.499992402
1,Quella stanza è una discarica,5.919867065,6.993306951,1.000000186
1,Quel bacio è un peperoncino,3.042117647,5.037346031,6.99451917
1,Quelle dita sono tentacoli,2.014278546,4.306835395,6.989012587
1,Quella nebbia è un muro,4.001442891,5.998499322,1.000000145
1,Quella pelle è una porcellana,4.997099358,6.000906266,6.999954598
1,Quella barba è un batuffolo,3.807616725,5.00091022,6.998830484
1,Quel pannolino è una diga,1.906560097,3.029253993,1.038461861
1,Quella nuvola è una perla,3.001361378,4.999099079,1.00000002
1,Quel vestito è una tenda,4.300055848,4.96276908,1.001521397
1,Quell'autostrada è un serpente,5.178487919,6.017986137,1.001172612
1,Quel prato è un velluto,4.517433311,5.982013854,1.000007972
1,Quei bicipiti sono sassi,5.730634153,6.320586974,6.999446933
1,Quella grondaia è uno scolapasta,2.001172708,4.000791513,1.000001071
1,Quella città è una giungla,6.001150013,6.999925154,1.000000307
1,Quell'orecchio è una padella,1.107884602,2.000277059,6.999978079
1,Quel cappello è un fungo,3.026174126,4.977022413,1.000017313
1,Quella ruga è un burrone,4.880707366,6.002472119,6.924136664
1,Quella bocca è una fragola,3.907727315,5.004066411,6.999978554
1,Quelle labbra sono un canotto,1.993307164,3.00669059,6.999903877
1,Quelle guance sono pesche,5.939128272,5.999942237,6.999999608
1,Quell'automobile è un missile,4.776041004,6.989012885,1.000000053
1,Quel naso è un uncino,5.883024051,5.99991641,7.000000039
1,Quell'aiuola è un arcobaleno,2.999782571,4.940464151,1.000000833
1,Quella fabbrica è un alveare,4.014061866,6.000395201,1.000261255
1,Quel sonaglio è una camomilla,1.924141839,2.322155584,1.000036246
1,Quella fronte è una pianura,4.939624459,5.562175932,6.999954602
1,Quei capelli sono spaghetti,5.424907906,5.267856154,6.994779768
1,Quel mare è uno smeraldo,5.533936659,6.977022579,1.000000032
1,Quella piscina è un brodo,2.981988472,4.000272121,1.000016741
1,Quel viso è una seta,5.0,5.268941662,6.999290328
1,Quelle gambe sono trampoli,4.790452674,5.99809219,6.999989874
1,Quegli zigomi sono montagne,3.98723272,5.014048894,6.999841589
1,Quella pancia è una mongolfiera,5.677844403,6.499999293,6.99998699
1,Quel libro è una lanterna,1.999907624,3.002619909,1.000000015
1,Quel sorriso è una stella,5.02147693,6.0,6.012562712
1,Quegli addominali sono marmo,5.908879574,6.222529518,6.999999764
1,Quella firma è un geroglifico,3.158617494,4.777301164,1.388493582
1,Quel computer è una tartaruga,4.029701371,5.095339434,1.000000186
1,Quei peli sono aghi,5.058229819,5.924103691,6.993306783
1,Quel braccio è una sbarra,5.730634147,6.003166539,6.99999996
1,Quella sigaretta è un proiettile,2.77898763,4.007095631,1.000035463
1,Quel cavo è un gomitolo,5.029464796,5.977025189,1.006841046
1,Quell'uragano è un carrarmato,3.0,5.095515049,1.000000393
1,Quelle palpebre sono serrande,4.0061061,5.022977519,6.8807968
1,Quella borsa è un macigno,4.953350319,5.999090502,1.000204039
1,Quell'aspirapolvere è un'astronave,1.999904141,3.73284688,1.000000394
1,Quel neo è una mora,6.010556436,5.824052503,6.99944661
1,Quelle unghie sono ruspe,4.349448669,5.029303297,6.998073273
1,Quei piedi sono zattere,3.095139714,4.037320754,6.999664667
1,Quel diario è una miniera,5.01481437,6.04742581,1.000000238
1,Quel lago è un cristallo,3.96045113,5.182432639,1.000000145
1,Quelle ciglia sono un ventaglio,3.077198178,4.437832396,6.731058015
1,Quella mano è una grattugia,2.03155406,3.328470676,6.999995216
1,Quel bar è un cimitero,4.288918119,5.09534908,1.000000002
1,Quei denti sono una ghigliottina,2.146903117,4.445384804,6.999983301
1,Quella locomotiva è un drago,4.972830494,6.000010126,1.000000648
1,Quella luna è un palloncino,3.741281043,5.000536077,1.000000015
1,Quel mento è un precipizio,2.843710246,4.817727644,6.95257409
1,Quella caviglia è un pallone,2.114300296,3.952590786,6.996827293
1,Quella casa è un gioiello,5.994746732,6.059752508,1.000000001
1,Quel brufolo è un vulcano,4.995492494,6.017978327,6.999796559
