,Metaphor
0,Quell'alito è una fogna
1,Quell'uragano è un carrarmato
2,Quella borsa è un macigno
3,Quella città è una giungla
4,Quelle guance sono pesche
5,Quel bacio è un peperoncino
6,Quella bocca è una fragola
7,Quella locomotiva è un drago
8,Quella ruga è un burrone
9,Quel vestito è una tenda
10,Quel lago è un cristallo
11,Quel sorriso è una stella
12,Quella pelle è una porcellana
13,Quel prato è un velluto
14,Quel mento è un precipizio
15,Quel viso è una seta
16,Quella nebbia è un muro
17,Quell'orecchio è una padella
18,Quella mano è una grattugia
19,Quel naso è un uncino
20,Quei denti sono una ghigliottina
21,Quelle palpebre sono serrande
22,Quelle ciglia sono un ventaglio
23,Quei piedi sono zattere
24,Quella pancia è una mongolfiera
25,Quella barba è un batuffolo
26,Quegli zigomi sono montagne
27,Quelle gambe sono trampoli
28,Quella caviglia è un pallone
29,Quel braccio è una sbarra
30,Quei capelli sono spaghetti
31,Quella fronte è una pianura
32,Quegli addominali sono marmo
33,Quelle labbra sono un canotto
34,Quei bicipiti sono sassi
35,Quelle unghie sono ruspe
36,Quelle dita sono tentacoli
37,Quei peli sono aghi
38,Quel brufolo è un vulcano
39,Quel neo è una mora
40,Quell'autostrada è un serpente
41,Quella fabbrica è un alveare
42,Quella luna è un palloncino
43,Quella sigaretta è un proiettile
44,Quella stanza è una discarica
45,Quel computer è una tartaruga
46,Quel libro è una lanterna
47,Quell'automobile è un missile
48,Quel cavo è un gomitolo
49,Quel cappello è un fungo
50,Quella grondaia è uno scolapasta
51,Quella casa è un gioiello
52,Quell'ospedale è un labirinto
53,Quel diario è una miniera
54,Quell'aiuola è un arcobaleno
55,Quel sonaglio è una camomilla
56,Quella nuvola è una perla
57,Quella firma è un geroglifico
58,Quegli abiti sono petali
59,Quel mare è uno smeraldo
60,Quella piscina è un brodo
61,Quel pannolino è una diga
62,Quell'aspirapolvere è un'astronave
63,Quel bar è un cimitero
