annotator,metaphor,metaphor_structure,FAMILIARITY_synthetic,MEANINGFULNESS_synthetic,DIFFICULTY_synthetic
1,Dopo una cena a base di aglio gli aliti sono fogne insopportabili.,Nominal predicative,3,2,1
1,Nei processi importanti certi avvocati sono squali senza scrupoli.,Nominal predicative,4,4,2
1,Secondo l'opinione del generale quegli eserciti sono dighe insormontabili.,Nominal predicative,3,1,2
1,Quando il tempo stringe gli oratori sono treni ad altà velocità.,Nominal predicative,1,1,5
1,Nell'arrampicata ad alta quota gli scalatori sono scoiattoli molto agili.,Nominal predicative,2,3,3
1,A volte nell'educazione degli adolescenti gli schiaffi sono medicine efficaci.,Nominal predicative,2,1,3
1,Specialmente per le coste italiane gli uragani sono carrarmati devastanti.,Nominal predicative,1,2,4
1,Davanti ad una punizione certi bambini sono fontane inarrestabili.,Nominal predicative,1,2,2
1,Nel mondo della speculazione finanziaria i banchieri sono vampiri sempre assetati.,Nominal predicative,3,4,3
1,Nell'utilizzo di rasoi taglienti i barbieri sono chirurghi altamente specializzati.,Nominal predicative,4,3,2
1,Negli ambienti di lavoro spesso i colleghi sono zecche fastidiose.,Nominal predicative,3,2,2
1,All'occhio di un investigatore alle prime armi certi delitti sono rebus insolubili.,Nominal predicative,4,2,4
1,Alle finali olimpioniche di atletica i ginnasti sono grilli agilissimi.,Nominal predicative,1,1,4
1,In certi sport americani i giocatori sono elefanti dalla mole imponente.,Nominal predicative,2,2,2
1,Durante gli scandali nazionali i giornalisti sono avvoltoi senza morale.,Nominal predicative,3,4,3
1,Nella formazione culturale di ogni persona certi libri sono bussole di grande utilità.,Nominal predicative,4,5,2
1,Nell'educazione dei giovani certi maestri sono lanterne che illuminano la via.,Nominal predicative,4,5,2
1,Nelle campagne elettorali certi politici sono calamite per i voti.,Nominal predicative,4,3,2
1,Nei condomini del centro i portinai sono archivi pronti a spettegolare.,Nominal predicative,4,4,2
1,Specialmente per le materie umanistiche certi professori sono enciclopedie zeppe di conoscenze.,Nominal predicative,4,5,3
1,Dopo un grave lutto certi ricordi sono spine dolorose.,Nominal predicative,5,4,2
1,Nel combattimento corpo a corpo certi soldati sono leoni senza paura.,Nominal predicative,4,3,3
1,Dopo un anno di duro lavoro i viaggi sono terapie di sicura efficacia.,Nominal predicative,4,5,2
1,Secondo la giornalista di moda quelle acconciature sono cespugli incolti.,Nominal predicative,2,1,4
1,Durante la gara di formula uno le automobili sono frecce velocissime.,Nominal predicative,3,5,2
1,Alla prima dello spettacolo le ballerine sono farfalle molto aggraziate.,Nominal predicative,3,4,1
1,Per le ricerche di letteratura certe biblioteche sono miniere ricche di informazioni.,Nominal predicative,4,5,1
1,Per i faccendieri del tribunale le borse sono macigni traboccanti di documenti.,Nominal predicative,3,4,3
1,Per gli adolescenti amanti del rock certe canzoni sono droghe ipnotiche.,Nominal predicative,3,4,4
1,Per i bambini maltrattati le carezze sono balsami che curano il trauma.,Nominal predicative,5,5,2
1,Nell'ora del rientro dal lavoro le città sono giungle caotiche.,Nominal predicative,4,4,2
1,Nelle poesie dei poeti romantici le fanciulle sono rose delicate.,Nominal predicative,4,4,2
1,Quando si suda per la tensione le giacche sono forni di calore.,Nominal predicative,2,2,5
1,Nei bambini appena nati le guance sono pesche liscissime.,Nominal predicative,4,4,1
1,Alle sfilate di alta moda le indossatrici sono bambole di incantevole bellezza.,Nominal predicative,4,5,1
1,Con certi insegnanti dell'università le lezioni in classe sono sonniferi potentissimi.,Nominal predicative,2,1,4
1,Specialmente nei paesi del terzo mondo certe malattie sono cecchini senza pietà.,Nominal predicative,2,4,3
1,Per i distubi del sonno certe melodie sono camomille rilassanti.,Nominal predicative,3,4,2
1,Nelle situazioni di crisi economica certe notizie sono terremoti destabilizzanti.,Nominal predicative,3,4,4
1,Le tasche delle giacche dei nonni sono banche zeppe di monete.,Nominal predicative,4,3,1
1,Ai matrimoni tradizionali le torte sono montagne di panna e praline.,Nominal predicative,5,4,2
1,Specialmente nel genere femminile certe voci sono trombe squillanti e fastidiose.,Nominal predicative,3,3,3
1,Soprattutto nelle culture tradizionali i matrimoni sono querce dalle radici solide.,Nominal predicative,4,3,2
1,Per molti anziani i figli sono stampelle che sostengono nella vecchiaia.,Nominal predicative,4,5,2
1,Dopo un temporale le nuvole sono perle di infiniti riflessi.,Nominal predicative,3,4,2
1,Nelle scelte di vita i dubbi sono ombre che offuscano la via.,Nominal predicative,4,5,3
1,Nei momenti di sconforto i sogni sono ali per viaggiare lontano.,Nominal predicative,4,4,4
1,Negli indecisi le opinioni sono pendoli che vanno di qua e di là.,Nominal predicative,4,3,2
1,Quando si toccano argomenti delicati le parole sono pietre che pesano sull'animo.,Nominal predicative,4,5,3
1,Nelle persone creative le menti sono vulcani di idee e progetti.,Nominal predicative,4,5,3
1,Al giorno d'oggi i passatempi sono oasi dal lavoro e dalla frenesia del quotidiano.,Nominal predicative,5,4,1
1,Specialmente nella adolescenza le passioni sono venti passeggeri e instabili.,Nominal predicative,4,4,3
1,In un percorso di miglioramento spirituale le virtù sono muscoli da potenziare.,Nominal predicative,4,5,2
1,Anche dopo molti anni i rimproveri dei genitori sono tatuaggi nella memoria.,Nominal predicative,4,4,2
1,Per gli animi sensibili le poesie sono sorrisi per il cuore.,Nominal predicative,4,4,2
1,I malati di artrosi dicono che le fitte sono coltelli nella carne.,Nominal predicative,4,4,2
1,Specialmente in filosofia certe teorie sono palazzi dalle fragili fondamenta.,Nominal predicative,4,3,4
1,Specialmente in America certe università sono portaerei che trasportano talenti.,Nominal predicative,4,4,2
1,Tutti sanno che le amicizie sono alberi che crescono con il tempo.,Nominal predicative,5,4,1
1,Se non curati con farmaci specifici certi malditesta sono trapani continui.,Nominal predicative,2,4,4
1,Nei paesi in via di sviluppo le economie sono bombe ad orologeria.,Nominal predicative,1,4,4
1,Nella memoria dei popoli le stragi sono cicatrici indelebili.,Nominal predicative,2,5,3
