metaphor,FAMILIARITY_human,MEANINGFULNESS_human
L' uomo raggiunge la felicità per un istante,"5,6","5,966666667"
La vicina scende nei particolari della storia,"5,8","5,866666667"
Mara inciampa negli imprevisti della vita,"5,2","5,766666667"
Nino esce dall' ossessione delle scommesse,"5,033333333","6,1"
Lo psicologo perlustra l' animo del paziente,"4,766666667","5,5"
L' adolescente girovaga nei sogni di successo,"4,233333333","4,733333333"
L' operaio arranca verso la paga di fine-mese,"5,666666667","5,9"
Elena scivola sulla domanda di filosofia,"5,833333333","6,1"
Il padre sgattaiola dall' impegno dei figli,"6,566666667","6,166666667"
Luca scappa dalla realtà con la meditazione,"5,3","5,933333333"
L' artista pedala sull' ispirazione del momento,"3,5","4,233333333"
Il direttore pesta i diritti dei lavoratori,"5,733333333","6,166666667"
Franco scalcia i rimorsi di coscienza,"4,566666667","4,966666667"
La ragazza passeggia tra le pagine del diario,"3,033333333","3,966666667"
