annotator,metaphor,FAMILIARITY_synthetic,MEANINGFULNESS_synthetic,BODY_RELATEDNESS_synthetic
1,Quell'alito è una fogna,5.345467158,6.992454658,6.981981284
1,Quell'uragano è un carrarmato,2.130113555,5.59050731,1.000045504
1,Quella borsa è un macigno,3.929333969,6.006140095,1.500016084
1,Quella città è una giungla,4.277426528,6.679174935,1.000004804
1,Quelle guance sono pesche,4.913513006,5.992999349,6.267548262
1,Quel bacio è un peperoncino,3.70326718,5.679815464,1.761639566
1,Quella bocca è una fragola,3.507981549,5.941078722,6.599051082
1,Quella locomotiva è un drago,2.780317325,5.857062459,1.000010148
1,Quella ruga è un burrone,4.548274157,6.003734792,6.622195525
1,Quel vestito è una tenda,3.556136836,5.924691446,1.001171642
1,Quel lago è un cristallo,2.973158446,5.881950136,1.000002275
1,Quel sorriso è una stella,2.818705305,5.182608899,1.119635617
1,Quella pelle è una porcellana,4.439631618,5.999454109,6.004507504
1,Quel prato è un velluto,3.12369474,5.778411664,1.000004809
1,Quel mento è un precipizio,2.072185138,4.650551339,5.990939599
1,Quel viso è una seta,2.642333988,5.044259854,6.0
1,Quella nebbia è un muro,3.074952308,5.905553384,1.000010131
1,Quell'orecchio è una padella,2.765617847,2.000334455,6.878980547
1,Quella mano è una grattugia,4.386867016,5.679361207,6.678687584
1,Quel naso è un uncino,5.82821711,6.364175327,6.99994169
1,Quei denti sono una ghigliottina,4.679843332,6.022623816,6.221588331
1,Quelle palpebre sono serrande,4.808578218,6.001446152,6.001440396
1,Quelle ciglia sono un ventaglio,3.424907897,5.118657973,5.995740996
1,Quei piedi sono zattere,5.10710239,5.030860431,6.999964636
1,Quella pancia è una mongolfiera,2.927814873,5.32105333,6.014028277
1,Quella barba è un batuffolo,3.088750034,5.000791513,6.010556436
1,Quegli zigomi sono montagne,3.65376965,6.007371469,6.817476317
1,Quelle gambe sono trampoli,5.838402242,6.991746188,6.999446745
1,Quella caviglia è un pallone,2.733658881,2.013615352,6.009485918
1,Quel braccio è una sbarra,5.125907354,6.001610168,6.880637868
1,Quei capelli sono spaghetti,2.272703999,3.830945664,5.669546132
1,Quella fronte è una pianura,2.685195605,5.004510472,5.998702244
1,Quegli addominali sono marmo,5.868233266,6.994684829,6.999954558
1,Quelle labbra sono un canotto,1.93537202,2.002242692,6.537826558
1,Quei bicipiti sono sassi,5.496401397,6.595204431,6.99966423
1,Quelle unghie sono ruspe,5.537157662,6.686250619,6.999085846
1,Quelle dita sono tentacoli,3.419061903,5.029284717,6.0
1,Quei peli sono aghi,4.164818974,5.818108919,6.007371471
1,Quel brufolo è un vulcano,4.95081273,6.119202869,5.999668327
1,Quel neo è una mora,4.927779375,5.920695193,6.904550088
1,Quell'autostrada è un serpente,3.936263394,6.679150985,1.000045425
1,Quella fabbrica è un alveare,4.074167028,6.060012076,1.022977649
1,Quella luna è un palloncino,2.562068128,4.97340658,1.00003538
1,Quella sigaretta è un proiettile,3.840104972,6.094922801,1.222706744
1,Quella stanza è una discarica,4.038864196,6.060051416,1.000000187
1,Quel computer è una tartaruga,3.424597754,6.182101312,1.000001072
1,Quel libro è una lanterna,2.019633293,3.23836472,1.000000832
1,Quell'automobile è un missile,4.021476927,6.985934934,1.000000145
1,Quel cavo è un gomitolo,4.012696959,5.997952523,2.647072501
1,Quel cappello è un fungo,3.0,4.702314752,1.001942467
1,Quella grondaia è uno scolapasta,2.687953789,4.603601252,1.000433297
1,Quella casa è un gioiello,5.000551234,6.014063621,1.000000186
1,Quell'ospedale è un labirinto,3.892115408,6.047415761,1.000203564
1,Quel diario è una miniera,3.998503821,6.029272204,1.000000032
1,Quell'aiuola è un arcobaleno,2.969358313,5.147892229,1.000000069
1,Quel sonaglio è una camomilla,1.02428542,1.268946149,1.000000729
1,Quella nuvola è una perla,2.075913661,4.029464796,1.000000836
1,Quella firma è un geroglifico,3.009410175,5.147926506,1.000045687
1,Quegli abiti sono petali,2.134263113,4.0,1.000021528
1,Quel mare è uno smeraldo,3.81152175,6.268774865,1.000002299
1,Quella piscina è un brodo,2.462173477,2.030839965,1.000003009
1,Quel pannolino è una diga,1.89289761,2.000575701,1.000558579
1,Quell'aspirapolvere è un'astronave,1.982274897,2.253515533,1.00000002
1,Quel bar è un cimitero,2.920397598,5.962694525,1.000000191
