annotator,metaphor,FAMILIARITY_synthetic,MEANINGFULNESS_synthetic,DIFFICULTY_synthetic
1,Nell'ora del rientro dal lavoro le città sono giungle caotiche.,2.93361324,4.232586718,2.059542746
1,Dopo una cena a base di aglio gli aliti sono fogne insopportabili.,2.855203423,4.03520701,2.294874971
1,Dopo un anno di duro lavoro i viaggi sono terapie di sicura efficacia.,2.724074204,4.244018316,2.343145012
1,Nelle poesie dei poeti romantici le fanciulle sono rose delicate.,2.152891259,3.709484496,2.064536189
1,Nei condomini del centro i portinai sono archivi pronti a spettegolare.,2.900482878,3.863704354,2.314301983
1,Per gli adolescenti amanti del rock certe canzoni sono droghe ipnotiche.,3.098234572,4.140259238,2.270959381
1,Negli ambienti di lavoro spesso i colleghi sono zecche fastidiose.,2.747255694,3.857889644,2.077198192
1,Nei momenti difficili le speranze sono stelle che illuminano l'anima.,3.332145964,4.67124643,1.81048635
1,Nell'arrampicata ad alta quota gli scalatori sono scoiattoli molto agili.,2.14699907,2.686854934,2.746391021
1,Alle finali olimpioniche di atletica i ginnasti sono grilli agilissimi.,1.684576899,2.294521158,2.878312552
1,Nelle persone creative le menti sono vulcani di idee e progetti.,3.336164968,4.363819124,2.226165317
1,Nei bambini appena nati le guance sono pesche liscissime.,2.093737929,2.819757792,1.929019207
1,Nel mondo dello spettacolo certe conoscenze sono ascensori per il successo.,3.314301931,4.105472426,2.152824471
1,Con certi insegnanti dell'università le lezioni in classe sono sonniferi potentissimi.,3.155417813,3.37581545,2.771319402
1,Per i soggetti depressi le crisi sono tunnel senza fine.,3.072220623,4.28693049,2.374400067
1,Nelle scelte di vita i dubbi sono ombre che offuscano la via.,3.653769638,4.357666008,2.381560914
1,Specialmente nelle relazioni sentimentali i torti sono crepe nell'anima.,3.835181011,4.199983625,2.699156841
1,Nella memoria dei popoli le stragi sono cicatrici indelebili.,3.757038127,4.615682985,2.492018439
1,I malati di artrosi dicono che le fitte sono coltelli nella carne.,3.487383749,4.334594299,2.447104024
1,Ai matrimoni tradizionali le torte sono montagne di panna e praline.,3.913513027,3.16484263,1.369477756
1,Nell'utilizzo di rasoi taglienti i barbieri sono chirurghi altamente specializzati.,3.830945679,4.366374978,1.917800465
