annotator,metaphor,FAMILIARITY_synthetic,DIFFICULTY_synthetic,MEANINGFULNESS_synthetic
1,stagno di buio,3.776120554,2.033275512,3.406648817
1,brivido di ferro,2.136122365,3.686854935,2.43985908
1,onda di lamento,3.458848692,2.11812975,4.205537205
1,albero di nuvole,2.707350414,2.916046397,4.143618738
1,rami d'oro,3.976322814,1.699156836,4.302834718
1,onda di parole,3.275925779,2.619911681,3.41586768
1,fiato di primavera,3.241278971,3.065592078,4.0420203
1,cime dello spirito,3.037107932,3.380088326,4.214486113
1,semi di dolore,3.294874998,2.863453014,3.983119561
1,occhi d'acciaio,2.391869237,3.216985826,2.890740796
1,goccia di luce,3.459972136,2.077238226,4.522226421
1,grido delle campane,4.0,2.047968043,4.149440256
1,teschio di corallo,1.724074221,4.467231734,1.98311961
1,capriole di fumo,2.354180442,4.06039649,2.513343894
1,nuvole di fuoco,4.109259166,2.227131734,4.332745516
1,canto della tenebra,3.018463195,3.890740817,3.181389498
1,tessuto di fumi,2.167043902,4.0,2.105472439
1,oblio della valle,2.962892067,3.722432664,3.491756349
1,fiocco di luna,4.142110353,2.163393781,4.282217829
1,uragano di sangue,3.697850813,3.784093934,4.324590746
1,morso del pettine,1.842054884,4.079602402,1.778280132
1,balbettio del mare,2.215906072,3.935463777,2.787714733
1,occhi di carbone,2.08795039,2.854038605,2.886764134
1,affanno dei venti,2.509455485,3.573946492,3.265859648
1,piede di vento,2.060651601,3.943221115,2.277619488
1,vene della terra,2.202506381,3.705478849,2.722432655
1,stracci di nubi,2.428511714,3.423146971,2.808578218
1,naso di madreperla,2.856381231,3.093737959,3.553189646
1,onda di tristezza,3.66034754,2.790452685,4.077621096
1,lava di ghiaccio,1.819757798,4.487383709,1.675177329
1,matassa di pasta,4.128520828,1.552430787,2.623094669
1,cielo d'ambra,3.670297978,2.481220561,4.163393791
1,canto dell'acqua,3.049187268,3.040764345,3.271604403
1,gradini del pensiero,2.593519651,4.420550042,3.27477715
1,tramonti di sangue,3.775938836,4.031327953,3.845719227
1,silenzio degli occhi,3.97813017,2.690138958,4.11883303
1,ali del ramo,3.037107933,2.6789339,2.954476556
1,volo del cuore,4.153318401,2.508243629,4.182321294
1,respiro del mare,3.257502914,2.845302096,3.855331999
1,onda della preghiera,2.734413671,3.845302099,3.809779111
1,foreste d'oro,2.961035505,2.894756784,3.790452674
1,pianto di stelle,2.734413691,3.27477714,4.083953598
